//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
Tap,المس
,
//Tower Names,
DartMonkey,القرد النشَّاب
BoomerangMonkey,قرد الخشبة المرتدة
BombShooter,مدفع القنابل
TackShooter,قاذف المسامير
IceMonkey,القرد الثلجي
GlueGunner,رشاش الغراء
SniperMonkey,القرد القناص
MonkeySub,القرد الغواص
MonkeyBuccaneer,القرد القرصان
MonkeyAce,القرد الطيار
HeliPilot,قائد المروحية
MortarMonkey,قرد مدفع هاون
WizardMonkey,القرد الساحر
DartlingGunner,مدفع رشاش
SuperMonkey,القرد الخارق
NinjaMonkey,قرد النينجا
Alchemist,الكيميائي
Druid,درويد/تلميذ الكاهن
BananaFarm,مزرعة الموز
EngineerMonkey,القرد المهندس
SpikeFactory,مصنع المسامير
MonkeyAcademy,أكاديمية القرود
MonkeyVillage,قرية القرود
,
//Tower Descriptions,
DartMonkey Description,يقوم بإلقاء سهم واحد على البالونات القريبة. حيث يتميز بأنه رخيص الثمن ولكن سهامه قصيرة المدى و وثقبه بسيط.
BoomerangMonkey Description,يقوم بإلقاء الخشبة المرتدة التي تتبع مسارًا منحنيًا. يتميز بمدى جيد وثاقب.
BombShooter Description,يقوم بإطلاق قنبلة قوية على البالونات. معدل بطيء لإطلاق النيران ولكنه يدمر البالونات الموجودة في نصف قطر الدائرة المحيطة بالانفجار.
TackShooter Description,يقوم بإطلاق سهم من المسامير الحادة قصيرة المدى في ثماني اتجاهات.
IceMonkey Description,يقوم بتفقيع البالونات القريبة وتجميدها لفترة زمنية قصيرة. البالونات المجمدة محصنة ضد الأضرار الحادة. يتعذر تجميد البالونات البيضاء أو المخططة أبيض في أسود أو المصنوعة من الرصاص.
GlueGunner Description,يقوم بإطلاق كتلة من الغراء اللاصق الذي يبطئ سرعة البالونات بنسبة 50٪.
SniperMonkey Description,بإمكانه إصابة البالونات التي يستطيع رؤيتها في أي مكان على الشاشة ببندقية بعيدة المدى، ويفقع طبقتين من البالونات التي يصيبها.
MonkeySub Description,يقوم بإطلاق طوربيد سهمي على البالونات القريبة. يجب وضعه في الماء.
MonkeyBuccaneer Description,يقوم بإطلاق سهمًا واحدًا ثقيلًا من كلا جانبي السفينة. يجب وضعه في الماء.
MonkeyAce Description,يقوم بالتحليق فوق الأرض وإطلاق وابل من  السهام الخارقة عالية الثقب.
HeliPilot Description,تحوم أينما وجهتها. يقوم بإطلاق السهام من بنادق السهام الثقيلة المزدوجة.
MortarMonkey Description,يقوم بإطلاق قذيفة هاون متفجرة على موقع ثابت في أي مكان على الشاشة.
WizardMonkey Description,يقوم بإطلاق صواعق الطاقة السحرية على البالونات، بالإضافة إلى قدرته على الترقية إلى مجموعة متنوعة من التعاويذ القوية.
DartlingGunner Description,يقوم باستخدام مدفع رشاش لإطلاق السهام. والتصويب في أي مكان تشير إليه على الشاشة.
SuperMonkey Description,إطلاق مئات الأسهم بسرعة تفوق سرعة الصوت مع نطاق هجوم ضخم.
NinjaMonkey Description,القرد الخفي والسريع الذي يرمي شوريكين شفافة لفرقعة البالونات، وبإمكانه استهداف بالونات الكامو.
Alchemist Description,عن طريق تسخير قوى العلم والسحر، يقوم برش البالونات بالحمض، كما يعمل على إضافة مختلفة تأثيرات مختلفة على الجرعات السحرية.
Druid Description,يقوم بتحضير انفجار الأشواك لكل هجوم. يمكن أن تجتذب الترقيات قوى الغابة أو العاصفة أو الغضب الشديد.
BananaFarm Description,يقوم بإنتاج الموز في كل جولة ومن ثم تحويله إلى أموال اللعبة للإنفاق على المزيد من الأشياء.
EngineerMonkey Description,يحمل بندقية مسامير موثوقًا به لفرقعة البالونات. يمكن الترقية لإنشاء أبراج حراسة لإطلاق المسامير.
SpikeFactory Description,إنشاء أكوام من مسامير الطريق على المسار القريب. آخر خط دفاع ممتاز.
MonkeyAcademy Description,هو مكان تعليم القرود وتدريبهم، يمنح مزايا قوية للقرود العسكرية والسحرية والأبطال. وتوليد قدر صغير من تجربة الأبطال في كل جولة.
MonkeyVillage Description,يحظى محور صناعة القرود بعدد من المزايا المختلفة لمساعدة جميع القرود التي لديك، ومن ثم العمل على زيادة نطاق جميع القردة الموجودين في نطاق نصف قطر من المكان التي يتمركز فيه المحور.
,
//Hero Names,
Quincy,كوينسي
StrikerJones,جونز المهاجم
CaptainChurchill,كابتن تشرشل
Gwendolin,جويندولين
Benjamin,بنيامين
PatFusty,بات فستي
Ezili,ازيلي
ObynGreenfoot,أوبين جرينفوت
,
//Hero Short Descriptions,
Quincy Short Description,رامي السهام
StrikerJones Short Description,قائد مدفعية
CaptainChurchill Short Description,دبابة
Gwendolin Short Description,مهووس بإشعال الحرائق
Benjamin Short Description,القرد النمطي
PatFusty Short Description,القرد العملاق
Ezili Short Description,قرد الفوودوو
ObynGreenfoot Short Description,حارس الغابة
,
//Hero Description,
Quincy Description,يتميز كوينسي بالعزة والقوة والذكاء، ويستخدم قوسه في أداء أعمال بطولية من المهارات المذهلة.
StrikerJones Description,جونز المهاجم هو قائد قوي يستخدم معرفته الفنية بالقتال بعيد المدى لتعزيز قوة المتفجرات إلى حد كبير.
CaptainChurchill Description,يعتبر الكابتن وهو في دبابته القتالية المدرعة قوة أكيدة لا يُستهان بها في ساحة المعركة.
Gwendolin Description,يعتقد جويندولين أنه لم تظهر بعد مشكلة في بلونز لا يمكن حلها بالنار حتى الآن. الكثير من النيران.
