//Input. Needs to be first e.g [I] replaced by click or tap,
Click,点击
Tap,轻按
,
//Tower Names,
DartMonkey,飞镖猴
BoomerangMonkey,回旋镖猴
BombShooter,大炮
TackShooter,图钉塔
IceMonkey,冰猴
GlueGunner,胶水炮手
SniperMonkey,狙击手猴
MonkeySub,猴子潜艇
MonkeyBuccaneer,海盗猴
MonkeyAce,皇家飞行员
HeliPilot,直升机飞行员
MortarMonkey,迫击炮猴
WizardMonkey,法师猴
DartlingGunner,机枪猴
SuperMonkey,超猴侠
NinjaMonkey,忍者猴
Alchemist,炼金术士
Druid,德鲁伊
BananaFarm,香蕉农场
EngineerMonkey,工程师猴
SpikeFactory,刺钉工厂
MonkeyAcademy,猴子学院
MonkeyVillage,猴子村
,
//Tower Descriptions,
DartMonkey Description,向附近的气球投掷一个飞镖。射程短，穿透力弱，但价格便宜。
BoomerangMonkey Description,投掷沿着曲线路径飞行的回旋镖。拥有良好的射程和穿透力。
BombShooter Description,向气球发射强力炸弹。射速慢，但危害面积较广。
TackShooter Description,向8个方向齐射短程锋利刺钉。
IceMonkey Description,短时间内冰冻周围的气球。被冰冻的气球无法被利器击破。对白气球、斑马气球和铅气球无效。
GlueGunner Description,发射一团粘稠的胶水，使气球减速50％。
SniperMonkey Description,可以使用远程步枪全屏射击气球，每次命中爆破两层气球。
MonkeySub Description,向附近的气球发射制导飞镖。必须放在水中。
MonkeyBuccaneer Description,从船的两侧射出单发重型飞镖。必须放在水中。
MonkeyAce Description,在上空盘旋发射高穿透飞镖。
HeliPilot Description,悬停在你指向的位置。使用双发重型飞镖枪射击。
MortarMonkey Description,向屏幕上的任意固定位置发射高爆迫击炮弹。
WizardMonkey Description,向气球发射魔法火柱。可升级为多种强力符咒。
DartlingGunner Description,使用发射飞镖的机枪。屏幕之上，指哪打哪。
SuperMonkey Description,以超音速投掷数以百计的飞镖，攻击范围巨大。
NinjaMonkey Description,身手矫捷的猴子可投掷锋利的手里剑来击破气球。可攻击迷彩气球。
Alchemist Description,利用科学和魔法的力量，用酸喷射气球，也酿制各种不同效果的药剂。
Druid Description,每次攻击发射一束利刺。升级可召唤丛林、风暴或愤怒的力量。
BananaFarm Description,每回合对战中生成香蕉，可转换成游戏金币，用来购买更多装备。
EngineerMonkey Description,拿着可靠的射钉枪射击气球。可以升级以创建自己的射钉岗哨机枪。
SpikeFactory Description,在附近的路径上自动生成一堆道钉。堪称强大的最后防线。
MonkeyAcademy Description,教育和培训猴子的地方。为军事、魔法和英雄猴子提供强大的智力支持。每回合对战增加少量的英雄经验值。
MonkeyVillage Description,猴产业枢纽，可为你的猴子提供各种福利。半径范围内所有猴子的攻击半径增加15％。
,
//Hero Names,
Quincy,昆西
StrikerJones,先锋琼斯
CaptainChurchill,上尉丘吉尔
Gwendolin,格温多琳
Benjamin,本杰明
PatFusty,帕特·法斯第
Ezili,艾泽里
ObynGreenfoot,奥本·格林福特
,
//Hero Short Descriptions,
Quincy Short Description,弓箭手
StrikerJones Short Description,火炮指挥官
CaptainChurchill Short Description,坦克
Gwendolin Short Description,纵火狂
Benjamin Short Description,代码猴子
PatFusty Short Description,巨猴
Ezili Short Description,巫都猴
ObynGreenfoot Short Description,森林卫士
,
//Hero Description,
Quincy Description,昆西是骄傲、坚强和聪明的化身，他的弓就是他展示惊人技能的武器。
StrikerJones Description,先锋琼斯是一位强势的指挥官，他利用自己的远程作战知识大大提高了爆炸物的威力。
CaptainChurchill Description,在装甲战斗坦克中，上尉立马化身成不苟言笑的强力人物。
Gwendolin Description,格温多琳认为，还没有无法用火来消灭的气球。如果有，那就加大火力。
Benjamin Description,利用精湛的黑客技能，本杰明可以为你的事业倒腾到更多的钱。
PatFusty Description,帕特是一个力大无比的巨型猴子。在对抗气球的战争中，它的体型和力量可是一笔宝贵财富。
Ezili Description,艾泽里是黑暗艺术的指挥者和气球的操纵者。小心为好。
ObynGreenfoot Description,奥本掌控自然力量，可以通过坚实的障碍发起幽魂之狼式的攻击。
,
//Hero Level Descriptions,
Quincy Level 1 Description,昆西的箭矢可弹射至最多3个不同目标。
Quincy Level 2 Description,基础攻击最多可弹射4个目标。
Quincy Level 3 Description,快速射击：短时间内获得三倍攻击速度。
Quincy Level 4 Description,射程略远。
Quincy Level 5 Description,借助敏锐的视力来攻击迷彩气球。
Quincy Level 6 Description,一次射2支箭。
Quincy Level 7 Description,每3次射击射出爆炸箭矢。
Quincy Level 8 Description,箭矢对MOAB级气球造成三倍伤害。
Quincy Level 9 Description,基础攻击最多可弹射6个目标。
Quincy Level 10 Description,箭矢风暴：对大片区域进行致命的箭雨攻击。
Quincy Level 11 Description,攻击速度增加。
Quincy Level 12 Description,每支箭矢都会获得更多的穿透力。
Quincy Level 13 Description,小幅增加攻击范围。
Quincy Level 14 Description,箭矢对MOAB级气球造成四倍伤害。
Quincy Level 15 Description,快速射击变为4倍速攻击，冷却时间缩短。
Quincy Level 16 Description,攻击速度进一步增加。
Quincy Level 17 Description,箭矢存在时间延长25％。每2次射击可射出爆炸箭矢。
Quincy Level 18 Description,昆西的攻击速度加快，并且箭矢风暴冷却时间缩短，箭矢数量增加50％。
Quincy Level 19 Description,同时射出3支箭，每支箭矢都会获得更高的击破力。
Quincy Level 20 Description,昆西的攻击速度进一步加快。箭矢风暴每支箭造成的伤害增加，并且射出更多箭矢。
,
StrikerJones Level 1 Description,先锋琼斯发射威力巨大的巴祖卡火箭筒炸毁气球。
StrikerJones Level 2 Description,爆炸半径增加。
StrikerJones Level 3 Description,震荡弹：向屏幕上最大的气球发射制导炮弹，并将其击晕。
StrikerJones Level 4 Description,屏幕上所有大炮和迫击炮猴子的射击速度增加10%。
StrikerJones Level 5 Description,削弱所有黑气球对所有猴子爆炸伤害的抵抗力。
StrikerJones Level 6 Description,大幅提升琼斯普通攻击的爆炸半径和爆破力。
StrikerJones Level 7 Description,迫击炮猴子的每次攻击命中可击破2层气球，并且爆炸范围扩大10%。
StrikerJones Level 8 Description,英雄附近的大炮射程+5%，穿透+25%。
StrikerJones Level 9 Description,攻击速度加快，并且震荡弹的穿透、伤害和造成的眩晕得到增强。
StrikerJones Level 10 Description,炮火指挥官：重置所有大炮和迫击炮猴子的技能冷却时间。
StrikerJones Level 11 Description,提高攻击速度。
StrikerJones Level 12 Description,略微增加攻击范围，能多击穿一层气球。
StrikerJones Level 13 Description,提高攻击速度。
StrikerJones Level 14 Description,震荡弹辐射面积更大，持续时间更长。
StrikerJones Level 15 Description,震荡弹冷却时间缩短为11秒。
StrikerJones Level 16 Description,提高攻击速度。
StrikerJones Level 17 Description,增加射程，每发炮弹击穿4层气球。
StrikerJones Level 18 Description,所有大炮和迫击炮猴子的攻击速度额外增加10%。
StrikerJones Level 19 Description,攻击速度提高，使所有黑气球受到的爆炸伤害增加。
StrikerJones Level 20 Description,炮火指挥官可使所有大炮和迫击炮猴子每次攻击造成的伤害和击破层数翻倍，效果持续10秒。
,
CaptainChurchill Level 1 Description,坦克发射的穿甲弹可爆炸最多3次。
CaptainChurchill Level 2 Description,提高每发炮弹的爆破力。
CaptainChurchill Level 3 Description,穿甲弹：发射可以击破黑气球的炮弹，并对陶瓷或更高级别气球造成额外伤害。持续时间随丘吉尔等级的提升而增加。
CaptainChurchill Level 4 Description,攻击范围增加。
CaptainChurchill Level 5 Description,为坦克添加快速发射机枪。
CaptainChurchill Level 6 Description,双筒望远镜可帮助丘吉尔击破迷彩气球。
CaptainChurchill Level 7 Description,炮弹造成的伤害增加，并且爆炸次数从3次增加到4次。
CaptainChurchill Level 8 Description,提高攻击速度。
CaptainChurchill Level 9 Description,炮弹可爆炸5次。
CaptainChurchill Level 10 Description,MOAB密集攻击：最多可向屏幕上的10个MOAB级气球发射大量炮弹，每次造成巨大伤害。
CaptainChurchill Level 11 Description,单发炮弹的爆破力增加。
CaptainChurchill Level 12 Description,炮弹造成的伤害额外增加，并且可爆炸6次。
CaptainChurchill Level 13 Description,穿甲弹击穿两层气球，对陶瓷和更高级别的气球造成额外伤害。
CaptainChurchill Level 14 Description,机枪和主炮每次射击可击破额外1层气球。
CaptainChurchill Level 15 Description,所有的攻击都会对强化气球造成额外的伤害。
CaptainChurchill Level 16 Description,提高攻击速度。
CaptainChurchill Level 17 Description,穿甲弹造成更多的伤害。
CaptainChurchill Level 18 Description,所有炮弹额外击穿一层气球。
CaptainChurchill Level 19 Description,炮弹可以爆炸7次。
CaptainChurchill Level 20 Description,每次MOAB密集攻击和每次机枪射击造成的伤害大幅提高。
,
Gwendolin Level 1 Description,她的火焰喷射器射出的烈焰会冲击气球。
Gwendolin Level 2 Description,略微提高每发炮弹的爆破力。
Gwendolin Level 3 Description,火焰鸡尾酒：掷出一瓶易燃液体，燃烧经过火焰的气球。
Gwendolin Level 4 Description,烈焰 - 每隔几秒钟会产生强大的火焰爆炸波，对气球造成冲击并增加附近猴子的攻击力。
Gwendolin Level 5 Description,击破力增加。环射火焰、照明弹和龙之吐息的攻击速度和攻击范围增加10%。
Gwendolin Level 6 Description,攻击会对目标气球产生燃烧效果。
Gwendolin Level 7 Description,烈焰攻击半径增加，火焰鸡尾酒的威力进一步提升。
Gwendolin Level 8 Description,每次射击可发射2个火柱。
Gwendolin Level 9 Description,每个火柱的初始攻击额外爆破1层气球。
Gwendolin Level 10 Description,火焰风暴：全屏攻击，燃烧所有气球，并为所有猴子提供烈焰攻击增益。
Gwendolin Level 11 Description,攻击范围增加。
Gwendolin Level 12 Description,提高攻击速度。
Gwendolin Level 13 Description,大幅增加击破力，并且射弹的飞行速度更快，持续时间更长。
Gwendolin Level 14 Description,火焰鸡尾酒造成额外伤害，并使MOAB级气球燃烧。
Gwendolin Level 15 Description,提高攻击速度。
Gwendolin Level 16 Description,火焰风暴的持续时间增加，并可造成更高伤害。紫气球无法再免疫格温多琳的攻击。
Gwendolin Level 17 Description,将其加热会让受影响的猴子额外爆破一层气球，并对铅气球造成+2伤害。
Gwendolin Level 18 Description,攻击速度加快。击破力增加。环射火焰、照明弹和龙之吐息的攻击速度和攻击范围增加20%。
Gwendolin Level 19 Description,每次攻击发射3个火柱。
Gwendolin Level 20 Description,火焰风暴造成的伤害大幅提升。
,
Benjamin Level 1 Description,黑客技能每回合带来150块收入。
Benjamin Level 2 Description,每回合的收入从100块增加到150块。
