//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
Tap,觸擊
,
//Tower Names,
DartMonkey,飛鏢猴
BoomerangMonkey,迴旋鏢猴
BombShooter,炸彈射手
TackShooter,釘子槍手
IceMonkey,冰猴
GlueGunner,粘膠槍手
SniperMonkey,狙擊手猴
MonkeySub,猴子潛艇
MonkeyBuccaneer,海盜猴
MonkeyAce,王牌猴子
HeliPilot,直升機飛行員
MortarMonkey,迫擊炮猴
WizardMonkey,巫師猴
DartlingGunner,飛鏢槍手
SuperMonkey,超猴
NinjaMonkey,忍者猴
Alchemist,煉金術士
Druid,督伊德
BananaFarm,香蕉農場
EngineerMonkey,工程師猴
SpikeFactory,針刺工廠
MonkeyAcademy,猴子學院
MonkeyVillage,猴村
,
//Tower Descriptions,
DartMonkey Description,向附近的氣球投擲單個飛鏢。射程短穿透力弱，但便宜。
BoomerangMonkey Description,投擲沿彎曲的路徑飛行的迴旋鏢。良好的射程和穿透力。
BombShooter Description,對氣球射出一個強大炸彈。射速較慢但爆炸點周圍半徑內有效。
TackShooter Description,向8個方向齊射出短射程尖銳釘子。
IceMonkey Description,在短時間內打破並凍住周圍氣球。被凍住的氣球不受尖銳傷害。不能凍住白色，斑馬或鉛氣球。
GlueGunner Description,射出一團粘性膠水，使減慢氣球速度50%。
SniperMonkey Description,可以使用長射程步槍射擊螢幕上可看到的任意位置的氣球，每次命中可擊破氣球2層氣球。
MonkeySub Description,向附近氣球射出追蹤魚雷飛鏢。必須放在水中。
MonkeyBuccaneer Description,從船的兩側射出一支重型飛鏢。必須放在水中。
MonkeyAce Description,高於地面飛行，射出一排高穿透力飛鏢。
HeliPilot Description,懸停於你上次在螢幕上觸擊的位置。使用重型飛鏢雙槍射擊。
MortarMonkey Description,向螢幕上任意固定位置發射爆炸迫擊砲彈。
WizardMonkey Description,向氣球投擲能量魔法柱。可以升級多種強大的法術。
DartlingGunner Description,使用發射飛鏢的機槍。瞄向你上次在屏幕上指向的地方。
SuperMonkey Description,以超音速投擲數百支飛鏢，且射程巨大。
