//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
Tap,Tryk
,
//Tower Names,
DartMonkey,Dart-abe
BoomerangMonkey,Boomerang-abe
BombShooter,Bombekanon
TackShooter,Stift-skyder
IceMonkey,Is-abe
GlueGunner,Limskyder
SniperMonkey,Snigskytte-abe
MonkeySub,Abe-ubåd
MonkeyBuccaneer,Pirat-abe
MonkeyAce,Pilot-abe
HeliPilot,Heli-pilot
MortarMonkey,Mortér-abe
WizardMonkey,Troldmands-abe
DartlingGunner,Dartling-skytte
SuperMonkey,Superabe
NinjaMonkey,Ninja-abe
Alchemist,Alkymist
Druid,Druide
BananaFarm,Bananfarm
EngineerMonkey,Tekniker-abe
SpikeFactory,Sømfabrik
MonkeyAcademy,Abeakademiet
MonkeyVillage,Abelandsby
,
//Tower Descriptions,
DartMonkey Description,"Kaster en enkelt dartpil mod bloons i nærheden. Kort rækkevidde og lav springkraft, men billig."
BoomerangMonkey Description,"Slynger en boomerang ud, der følger en kurvet bane. God rækkevidde og springkraft."
BombShooter Description,"Affyrer en kraftig bombe mod bloons'ene. Langsom skudhastighed, men påvirker alt i en radius omkring eksplosionen."
TackShooter Description,Affyrer en kortrækkende byge af skarpe stifter i 8 retninger.
IceMonkey Description,"Springer og fryser kortvarigt bloons i nærheden. Frosne bloons er immune overfor skade fra skarpe skud. Kan ikke fryse hvide, zebra- eller bly-bloons."
GlueGunner Description,"Affyrer en klat klæbrig lim, som forsinker bloons med op til 50 %."
SniperMonkey Description,"Kan skyde bloons, den kan se, hvor som helst på skærmen med en langtrækkende riffel og springer 2 bloons-lag."
MonkeySub Description,Affyrer søgende torp-e-dartpile mod bloons i nærheden. Skal stationeres i vand.
MonkeyBuccaneer Description,"Affyrer en enkelt, kraftig dartpil fra begge sider af skibet. Skal stationeres i vand."
MonkeyAce Description,Flyver over jorden og affyrer byger af dartpile med høj gennemslagskraft.
HeliPilot Description,Svæver hvor du placerer den. Skyder med to tunge pistoler.
MortarMonkey Description,Affyrer en eksploderende mortérgranat mod et fast mål  hvor som helst på skærmen.
WizardMonkey Description,Kaster magiske energikugler mod bloons'ene. Kan opgraderes med forskellige kraftfulde besværgelser.
DartlingGunner Description,"Bruger et dartpil-skydende maskingevær. Skyder imod, hvor du trykker på skærmen."
SuperMonkey Description,Kaster hundredvis af dartpile med hypersonisk hastighed med en enorm rækkevidde.
NinjaMonkey Description,"Snigende og hurtig abe, som kaster ninjastjerner der springer bloons. Kan angribe camo-bloons."
Alchemist Description,Ved at udnytte videnskabens og magiens kraft overdynges bloons med syre. Kan også brygge adskillige eliksirer med forskellige virkninger.
Druid Description,"Skaber en eksplosion af torne for hvert angreb. Opgraderinger kan hidkalde junglens, stormens og vredens kræfter."
BananaFarm Description,"Genererer bananer hver runde, som konverteres til spilvaluta, som kan bruges på mere gear."
EngineerMonkey Description,Armeret med en pålidelig sømpistol til at springe bloons. Kan opgraderes til at skabe sine egne sømspyttende sensortårne.
SpikeFactory Description,Genererer automatisk bunker af vejsøm på vejen i nærheden. En fortræffelig sidste forsvarslinje.
MonkeyAcademy Description,"Et sted til uddannelse og træning af aber. Giver kraftfulde fordele til militær-, magi- og helteaber. Genererer en lille mængde EP hver runde."
MonkeyVillage Description,"Centrum for abeindustri med flere forskellige fordele, der kommer alle dine aber til gode. Alle aber i den radius får en øget aktionsradius på 15 %."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Angriber-Jones
