//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
Tap,Napauta
,
//Tower Names,
DartMonkey,Tikka-apina
BoomerangMonkey,Bumerangiapina
BombShooter,Pommittaja
TackShooter,Nasta-ampuja
IceMonkey,Jääapina
GlueGunner,Liima-ampuja
SniperMonkey,Tarkka-ampuja
MonkeySub,Sukellusvene
MonkeyBuccaneer,Merirosvoapina
MonkeyAce,Lentäjä-ässä
HeliPilot,Kopterilentäjä
MortarMonkey,Mörssäriapina
WizardMonkey,Velhoapina
DartlingGunner,Konetikka-ase
SuperMonkey,Superapina
NinjaMonkey,Ninja-apina
Alchemist,Alkemisti
Druid,Druidi
BananaFarm,Banaanifarmi
EngineerMonkey,Insinööriapina
SpikeFactory,Piikkitehdas
MonkeyAcademy,Apina-akatemia
MonkeyVillage,Apinakylä
,
//Tower Descriptions,
DartMonkey Description,Sinkoaa yksittäisen tikan lähellä oleviin blooneihin. Lyhyt kantama ja heikko lävistys mutta halpa.
BoomerangMonkey Description,"Viskaa bumerangin, joka seuraa kaarevaa rataa. Hyvä kantama ja lävistys."
BombShooter Description,"Laukaisee voimakkaan pommin blooneihin. Hidas tulinopeus, mutta vaikuttaa alueeseen räjähdyksen ympärillä."
TackShooter Description,Ampuu lyhyen kantaman terävien nastojen ryppään 8 suuntaan.
IceMonkey Description,"Poksauttaa ja jäädyttää lähellä olevat bloonit hetkeksi. Jäätyneet bloonit ovat immuuneja teräville ammuksille. Valkoisia, seepra- tai lyijyblooneja ei voi jäädyttää."
GlueGunner Description,"Ampuu möykyn tarttuvaa liimaa, joka hidastaa bloonien vauhtia 50 %."
SniperMonkey Description,Voi ampua näkemiään blooneja pitkän kantaman kiväärillä mistä tahansa ruudulta ja poksauttaa blooneista 2 kerrosta pois.
MonkeySub Description,Ampuu ohjautuvia torpedotikkoja lähellä oleviin blooneihin. Asetettava veteen.
MonkeyBuccaneer Description,"Ampuu yksittäisiä, raskaita tikkoja laivan molemmilta puolilta. Asetettava veteen."
MonkeyAce Description,Lentää ilmojen halki ampuen tehokkaasti lävistävien tikkojen ryöppyjä.
HeliPilot Description,Leijuu osoittamallasi paikalla. Ampuu kahdella raskaalla tikka-aseella.
MortarMonkey Description,Ampuu räjähtävän kranaatin kiinteään kohtaan minne tahansa näytöllä.
WizardMonkey Description,Sinkoaa maagisia energiavasamoita blooneja kohti. Voidaan päivittää osaamaan useita voimakkaita loitsuja.
DartlingGunner Description,"Käyttää tikkoja ampuvaa konekivääriä. Tähtää siihen, mihin osoitat näytöllä."
SuperMonkey Description,Heittää sadoittain tikkoja hypersonisella nopeudella ja valtavalla kantamalla.
NinjaMonkey Description,"Piileskelevä ja nopea apina, joka viskoo teräviä shurikeneja blooneihin. Voi ampua maastokuvioituja blooneja."
Alchemist Description,Yhdistää tieteen ja magian voimat roiskiakseen blooneja hapolla ja hauduttaa erilaisia vaikutuksia aiheuttavia taikajuomia.
Druid Description,"Luo okaräjähdyksen kullakin hyökkäyksellä. Päivitykset voivat kutsua viidakon, myrskyn tai vihan voimia."
BananaFarm Description,Tuottaa kullakin kierroksella pelirahaksi muuttuvia banaaneja lisätavaroiden hankkimista varten.
EngineerMonkey Description,Pitelee luotettavaa naulapistoolia bloonien poksauttamiseen. Voidaan päivittää luomaan omia naulojaan ampuvia vartiotorneja.
SpikeFactory Description,Levittää automaattisesti tiepiikkien pinoja lähellä olevalle radalle. Erinomainen viimeinen puolustuslinja.
MonkeyAcademy Description,"Apinoiden koulutukseen ja harjoitteluun. Antaa voimakkaita etuja sotilas-, taika- ja sankariapinoita varten. Generoi pienen määrän Sankari-XP:tä kullakin kierroksella."
MonkeyVillage Description,"Apinateollisuuden keskiö, jolla on suuri määrä etuja kaikkien apinoidesi avustamiseksi. Lisää kaikkien apinoiden kantamaa 15 %:lla omalla kantamallaan."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Iskijä Jones
CaptainChurchill,Kapteeni Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Jousiampuja
StrikerJones Short Description,Tykistökomentaja
CaptainChurchill Short Description,Tankki
Gwendolin Short Description,Pyromaani
Benjamin Short Description,Koodiapina
PatFusty Short Description,Jättiläisapina
Ezili Short Description,Voodooapina
ObynGreenfoot Short Description,Metsänvartija
,
//Hero Description,
Quincy Description,"Ylpeä, voimakas ja älykäs Quincy käyttää joustaan hämmästyttävän taidokkaisiin toimenpiteisiin."
