//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
Tap,Tippen
,
//Tower Names,
DartMonkey,Wurfpfeilaffe
BoomerangMonkey,Bumerangaffe
BombShooter,Bombenwerfer
TackShooter,Reißnagelwerfer
IceMonkey,Eisaffe
GlueGunner,Klebstoffschütze
SniperMonkey,Scharfschützenaffe
MonkeySub,Affen-U-Boot
MonkeyBuccaneer,Freibeuteraffe
MonkeyAce,Affenfliegerass
HeliPilot,Hubschrauberpilot
MortarMonkey,Mörseraffe
WizardMonkey,Zaubereraffe
DartlingGunner,Pfeilschussschütze
SuperMonkey,Superaffe
NinjaMonkey,Ninja-Affe
Alchemist,Alchemist
Druid,Druide
BananaFarm,Bananenplantage
EngineerMonkey,Affenpionier
SpikeFactory,Nagelfabrik
MonkeyAcademy,Affenakademie
MonkeyVillage,Affendorf
,
//Tower Descriptions,
DartMonkey Description,"Wirft einen Pfeil auf Bloons in der Nähe. Kurze Reichweite und niedrige Durchschlagskraft, aber billig."
BoomerangMonkey Description,"Schleudert einen Bumerang, der einem kurvigen Pfad folgt. Gute Reichweite und Durchschlagskraft."
BombShooter Description,"Wirft eine starke Bombe auf die Bloons. Niedrige Feuerrate, trifft aber innerhalb eines Radius um die Explosion herum."
TackShooter Description,Schießt auf kurze Reichweite eine Salve scharfer Reißnägel in 8 Richtungen.
IceMonkey Description,"Lässt Bloons in der Nähe platzen und friert sie für kurze Zeit ein. Eis-Bloons sind gegen Schaden durch scharfe Gegenstände immun. Kann Weiße, Zebra- oder Blei-Bloons nicht einfrieren."
GlueGunner Description,"Verschießt einen Tropfen klebrigen Klebstoff, der Bloons um 50 % verlangsamt."
SniperMonkey Description,Schießt mit einem Ferngewehr auf Bloons an beliebigen Orten auf dem Bildschirm und lässt 2 getroffene Bloonschichten platzen.
MonkeySub Description,Verschießt zielsuchende Torpedarts auf Bloons in der Nähe. Muss in Wasser platziert werden.
MonkeyBuccaneer Description,Verschießt einen einzelnen schweren Pfeil von beiden Seiten des Schiffs. Muss in Wasser platziert werden.
MonkeyAce Description,Fliegt über dem Boden und verschießt Salven von Pfeilen mit hoher Durchschlagskraft.
HeliPilot Description,Schwebt in die von dir vorgegebene Richtung. Schießt mit großen Doppelpfeilkanonen.
MortarMonkey Description,Verschießt eine Mörsergranate auf einen festgelegten Ort irgendwo auf dem Bildschirm.
WizardMonkey Description,Schleudert magische Energieblitze auf die Bloons. Kann zu einer Reihe mächtiger Zauber verbessert werden.
DartlingGunner Description,"Verwendet ein Pfeile schießendes Maschinengewehr. Zielt, wohin du auf dem Bildschirm zeigst."
SuperMonkey Description,Wirft Hunderte von Pfeilen mit großer Angriffsreichweite in Überschallgeschwindigkeit.
NinjaMonkey Description,"Verstohlener und schneller Affe, der Shuriken wirft, um die Bloons zum Platzen zu bringen. Kann auch Tarn-Bloons treffen."
