//Input. Needs to be first e.g [I] replaced by click or tap,
Click,クリック
Tap,タップ
,
//Tower Names,
DartMonkey,ダーツモンキー
BoomerangMonkey,ブーメランモンキー
BombShooter,爆弾シューター
TackShooter,びょうシューター
IceMonkey,アイスモンキー
GlueGunner,グルーガンマン
SniperMonkey,スナイパーモンキー
MonkeySub,モンキー潜水艦
MonkeyBuccaneer,モンキーバッカニア
MonkeyAce,エースモンキー
HeliPilot,ヘリパイロット
MortarMonkey,迫撃砲モンキー
WizardMonkey,魔法使いモンキー
DartlingGunner,ダートリング砲手
SuperMonkey,スーパーモンキー
NinjaMonkey,忍者モンキー
Alchemist,錬金術師
Druid,ドルイド
BananaFarm,バナナ農園
EngineerMonkey,エンジニアモンキー
SpikeFactory,スパイク工場
MonkeyAcademy,モンキーアカデミー
MonkeyVillage,モンキー村
,
//Tower Descriptions,
DartMonkey Description,近くのブルーンにダーツを一本投げる。近距離で貫通度も低いが安い。
BoomerangMonkey Description,カーブしながら飛ぶブーメランを投げる。良い飛距離と貫通度。
BombShooter Description,パワフルな爆弾をブルーンめがけて発射する。発射率は遅いが、爆破周辺の放射状範囲に影響する。
TackShooter Description,八方向に尖ったびょうの近距離射撃を一斉発射する。
IceMonkey Description,短期間、付近のブルーンを割って凍らせる。凍ったブルーンは、尖ったものによるダメージが効かない。白、ゼブラ、鉛のブルーンは凍結できない。
GlueGunner Description,ブルーンを50％遅くさせるネバネバ接着剤の塊を撃ち放つ。
SniperMonkey Description,長距離ライフルで、画面上に見える範囲のブルーンを撃つことができ、当たればブルーンの二層分を割る。
MonkeySub Description,近くのブルーンに向けて、自動誘導魚雷型ダーツを撃つ。水の中に設置しなければならない。
MonkeyBuccaneer Description,船の両側から重装備のダーツを1本撃つ。水の中に設置しなければならない。
MonkeyAce Description,地面の上を飛びながら、貫通度の高いダーツを一斉発射する。
HeliPilot Description,向けた方向にホバリングする。重装備ダブルダーツ銃を発砲する。
MortarMonkey Description,画面上の任意の定位置めがけて、爆破する迫撃炸裂弾を発射する。
WizardMonkey Description,ブルーンに向けて、魔法のエネルギーの稲妻を投げる。様々なパワフルな呪文にアップグレードできる。
DartlingGunner Description,ダーツを撃つマシンガンを使う。どこでも画面上のタップした場所を狙う。
SuperMonkey Description,超音速スピードで何百ものダーツを投げる。巨大な攻撃範囲。
NinjaMonkey Description,ブルーンを割る刃つき手裏剣を投げる、素早いステルスモンキー。カモフラージュブルーンを標的にできる。
Alchemist Description,科学と魔法の力を利用し、ブルーンに酸をかける。また、色々な効果の多様なポーションを作る。
Druid Description,各攻撃でトゲの爆破を作りだす。アップグレードすると、ジャングル、ストーム、ラスの力を召喚できる。
BananaFarm Description,各ラウンドで、色々なものを買うためのゲーム内通貨に両替できるバナナを生成する。
EngineerMonkey Description,ブルーンを割るための、頼れる釘打ちガンを持っている。アップグレードすると、自分の釘打ち番兵砲塔を作れる。
SpikeFactory Description,近くのトラックに路上スパイクの山を自動的に作り出す。最後の防衛線として最適。
MonkeyAcademy Description,モンキーたちの教育と訓練の場。軍人、魔法、ヒーローモンキーに有利となるパワフルな力を与える。各ラウンドで、少量のヒーローXPを生成する。
MonkeyVillage Description,モンキー工業の中心で、全てのモンキーの助けとなる様々な手助けを用意している。全てのモンキーの直径を、15％広げる。
,
//Hero Names,
Quincy,クインシー
StrikerJones,ストライカー・ジョーンズ
CaptainChurchill,チャーチル大佐
Gwendolin,グウェンドリン
Benjamin,ベンジャミン
PatFusty,ビッグパット
Ezili,エジーリ
ObynGreenfoot,オービン・グリーンフット
,
//Hero Short Descriptions,
Quincy Short Description,アーチャー
StrikerJones Short Description,砲兵司令官
CaptainChurchill Short Description,戦車
Gwendolin Short Description,放火魔
Benjamin Short Description,コーディングモンキー
PatFusty Short Description,ジャイアントモンキー
Ezili Short Description,ブードゥーモンキー
ObynGreenfoot Short Description,森の守護者
,
//Hero Description,
