//Input. Needs to be first e.g [I] replaced by click or tap,
Click,클릭
Tap,터치
,
//Tower Names,
DartMonkey,다트 원숭이
BoomerangMonkey,부메랑 원숭이
BombShooter,폭탄 슈터
TackShooter,압정 슈터
IceMonkey,얼음 원숭이
GlueGunner,글루 사수
SniperMonkey,저격 원숭이
MonkeySub,멍키 잠수함
MonkeyBuccaneer,해적 원숭이
MonkeyAce,에이스 원숭이
HeliPilot,헬기 조종사
MortarMonkey,박격포 원숭이
WizardMonkey,마법사 원숭이
DartlingGunner,다트포 사수
SuperMonkey,슈퍼 원숭이
NinjaMonkey,닌자 원숭이
Alchemist,연금술사
Druid,드루이드
BananaFarm,바나나 농장
EngineerMonkey,엔지니어 원숭이
SpikeFactory,스파이크 공장
MonkeyAcademy,원숭이 아카데미
MonkeyVillage,원숭이 마을
,
//Tower Descriptions,
DartMonkey Description,주변 풍선에 다트 한 개를 던집니다. 사정거리가 짧고 관통력도 낮지만 비용이 낮습니다.
BoomerangMonkey Description,곡선을 그리며 날아가는 부메랑을 던집니다. 사정거리와 관통력이 적당합니다.
BombShooter Description,풍선을 향해 위력적인 폭탄을 발사합니다. 발사 속도는 느리지만 공격 효과가 폭발 지점 주위의 반경에 적용됩니다.
TackShooter Description,뾰족한 압정을 8방향 단거리로 일제히 발사합니다.
IceMonkey Description,"잠시 동안 주변의 풍선을 터트리고 얼립니다. 얼린 풍선은 뾰족한 공격에 면역 상태가 됩니다. 하얀 풍선, 줄무늬 풍선, 납 풍선은 얼릴 수 없습니다."
GlueGunner Description,풍선의 이동 속도를 50% 감소시키는 끈적끈적한 글루 방울을 발사합니다.
SniperMonkey Description,"화면 어디에 있든 눈에 보이는 풍선을 원거리 소총으로 쏘며, 명중하면 풍선을 2겹 터트립니다."
MonkeySub Description,주변의 풍선을 향해 유도 다트를 발사합니다. 물에 배치해야 합니다.
MonkeyBuccaneer Description,함선의 양측에서 중량 다트를 하나 발사합니다. 물에 배치해야 합니다.
MonkeyAce Description,지상 위를 날며 관통력이 높은 다트를 한꺼번에 여럿씩 발사합니다.
HeliPilot Description,이동을 지시하는 어떤 곳에서든 머무릅니다. 무거운 쌍둥이 다트총을 쏩니다.
MortarMonkey Description,화면 내 어디든 고정된 지점에 폭발성 박격포탄을 발사합니다.
WizardMonkey Description,풍선을 향해 마법 에너지 볼트를 쏩니다. 여러 가지 위력 있는 마법 주문으로 업그레이드할 수 있습니다.
DartlingGunner Description,다트를 쏘는 기관총을 사용합니다. 화면에서 터치하는 부분을 겨냥합니다.
SuperMonkey Description,"엄청난 사정거리를 지녔으며, 극초음속의 속도로 수백 개의 다트를 던집니다."
NinjaMonkey Description,"은신술에 능하고 몸놀림이 재빠른 원숭이로, 뾰족한 표창을 던져 풍선을 터트립니다. 캐모 풍선을 공격할 수 있습니다."
Alchemist Description,"과학과 마법의 힘을 모두 사용하여 풍선에 산성물질을 끼얹으며, 다양한 효과를 지닌 여러 물약을 제조합니다."
Druid Description,"공격할 때마다 가시를 잔뜩 방출합니다. 업그레이드하면 정글, 폭풍, 또는 분노의 힘을 방출할 수 있게 됩니다."
BananaFarm Description,여러 모로 쓸 데가 많은 게임 머니로 변환되는 바나나를 라운드마다 생산합니다.
EngineerMonkey Description,애용하는 못총으로 풍선을 터트립니다. 업그레이드하면 못을 발사하는 경비 포탑을 제작할 수 있습니다.
SpikeFactory Description,근처의 트랙에 자동으로 로드 스파이크를 무더기로 생성합니다. 최후의 방어선으로 제격이지요.
MonkeyAcademy Description,"원숭이의 교육과 훈련을 담당하는 곳입니다. 군사, 마법, 영웅 원숭이들에게 유용한 혜택을 부여합니다. 라운드마다 소량의 영웅 XP를 생산합니다."
MonkeyVillage Description,"원숭이 산업의 중심지로, 모든 원숭이에게 도움이 되는 여러 가지 혜택이 있습니다. 반경 내에 있는 모든 원숭이의 반경을 15% 증가시킵니다."
,
//Hero Names,
Quincy,퀸시
StrikerJones,스트라이커 존스
CaptainChurchill,캡틴 처칠
Gwendolin,그웬돌린
Benjamin,벤자민
PatFusty,팻 퍼스티
Ezili,이질리
ObynGreenfoot,오빈 그린풋
,
