//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
Tap,Trykk
,
//Tower Names,
DartMonkey,Dart-ape
BoomerangMonkey,Bumerang-ape
BombShooter,Bombeskyter
TackShooter,Stiftskyter
IceMonkey,Is-ape
GlueGunner,Limskyter
SniperMonkey,Snikskytterape
MonkeySub,Ape-ubåt
MonkeyBuccaneer,Piratape
MonkeyAce,Ape-ess
HeliPilot,Helikopterpilot
MortarMonkey,Morter-ape
WizardMonkey,Trollmann-ape
DartlingGunner,Dartpistol-ape
SuperMonkey,Superape
NinjaMonkey,Ninja ape
Alchemist,Alkymist
Druid,Druide
BananaFarm,Banangård
EngineerMonkey,Ingeniørape
SpikeFactory,Spikerfabrikk
MonkeyAcademy,Ape Akademi
MonkeyVillage,Apelandsby
,
//Tower Descriptions,
DartMonkey Description,"Kaster én dartpil på en bloon i nærheten. Kort rekkevidde og liten gjennomtrengning, men billig."
BoomerangMonkey Description,Kaster en bumerang som følger en kurvet vei. Bra rekkevidde og gjennomtrengning.
BombShooter Description,"Sender en kraftig bombe mot bloonsene. Sakte ildhastighet, men påvirker en radius rundt eksplosjonen."
TackShooter Description,Skyter en skuddsalve med stifter med kort rekkevidde i 8 retninger.
IceMonkey Description,"Popper og fryser bloons i en kort periode. Frosne bloons er immune mot stikkskader. Kan ikke fryse hvite bloons, sebra- eller bly-bloons."
GlueGunner Description,Skyter en klump med klissete lim som sakker bloons med 50 %.
SniperMonkey Description,"Kan skyte bloons den kan se overalt på skjermen med en rifle med lang rekkevidde, og kan poppe 2 lag av bloonen skudd for skudd."
MonkeySub Description,Skyter torp-e-dartpiler på bloons i nærheten. Må plasseres i vann.
MonkeyBuccaneer Description,"Skyter en enkel, solid dartpil fra begge sider av skipet. Må være plassert i vann."
MonkeyAce Description,Flyr over bakken og skyter skuddsalver med dartpiler med god gjennomtrengning.
HeliPilot Description,"Svever der du sender den. Skyter fra store, doble dartpistoler."
MortarMonkey Description,Sender et eksploderende morterskjell til et satt sted hvor som helst på skjermen.
WizardMonkey Description,Kaster magiske energilyn på bloons. Kan oppgraderes til flere kraftige forhekselser.
DartlingGunner Description,Bruker et dartskytende maskingevær. Sikter der du peker på skjermen.
SuperMonkey Description,Kaster hundrevis av dartpiler i supersonisk hastighet med stor angrepsrekkevidde.
NinjaMonkey Description,Snikende og rask ape som kaster skarpe kastestjerner for å poppe bloons. Kan ta kamuflerte bloons.
Alchemist Description,Med krefter fra vitenskap og magi spruter den syre på bloons og brygger forskjellige brygg med ulik effekt.
Druid Description,"Lager en eksplosjon av torner for hvert angrep. Oppgraderinger kan fremkalle krefter fra Jungelen, Storm og Vrede."
BananaFarm Description,Genererer hver runde bananer som konverteres til spillpenger for å bruke på flere ting.
