//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
Tap,Dotknij
,
//Tower Names,
DartMonkey,Małpka z rzutkami
BoomerangMonkey,Bumerangowa małpka
BombShooter,Działo bombowe
TackShooter,Działo gwoździowe
IceMonkey,Lodowa małpka
GlueGunner,Strzelec klejowy
SniperMonkey,Małpka snajper
MonkeySub,Małpka podwodna
MonkeyBuccaneer,Małpka pirat
MonkeyAce,Małpka pilot
HeliPilot,Pilot helikoptera
MortarMonkey,Małpka z moździerzem
WizardMonkey,Małpka czarodziej
DartlingGunner,Strzelec rzutkowy
SuperMonkey,Supermałpka
NinjaMonkey,Małpka ninja
Alchemist,Alchemik
Druid,Druid
BananaFarm,Bananowa farma
EngineerMonkey,Małpka inżynier
SpikeFactory,Fabryka kolców
MonkeyAcademy,Małpia Akademia
MonkeyVillage,Małpia wioska
,
//Tower Descriptions,
DartMonkey Description,"Rzuca pojedynczą rzutką w najbliższe blony. Niewielki zasięg i słabe przebicie, ale jest tania."
BoomerangMonkey Description,"Ciska bumerangiem, który zakręca w locie. Dobry zasięg i przebicie."
BombShooter Description,"Strzela w blony potężną bombą. Niska częstotliwość wystrzału,
ale działa także w promieniu wokół eksplozji."
TackShooter Description,Strzela serią ostrych gwoździ krótkiego zasięgu w ośmiu kierunkach.
IceMonkey Description,"Przekłuwa i zamraża na chwilę pobliskie blony. Zamrożone blony są odporne na ostrą broń. Nie można zamrozić białych, pasiastych i ołowianych blonów."
GlueGunner Description,"Strzela kleksem kleju, który spowalnia blony o 50%."
SniperMonkey Description,Może strzelać do blonów na całym ekranie za pomocą strzelby dalekiego zasięgu. Strzał powoduje przekłucie dwóch warstw trafionych blonów.
MonkeySub Description,Strzela samosterującymi torpe-rzutkami w najbliższe blony. Musi być umieszczona w wodzie.
MonkeyBuccaneer Description,Strzela pojedynczymi ciężkimi rzutkami z obu stron statku. Musi być umieszczona w wodzie.
MonkeyAce Description,Lata nad ziemią i strzela seriami rzutek o dobrym przebiciu.
