//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
Tap,Toque
,
//Tower Names,
DartMonkey,Macaco Dardo
BoomerangMonkey,Macaco Bumerangue
BombShooter,Bombardeiro
TackShooter,Cospe Tachinha
IceMonkey,Macaco de Gelo
GlueGunner,Cospe Cola
SniperMonkey,Macaco Atirador
MonkeySub,Macaco Sub
MonkeyBuccaneer,Macaco Bucaneiro
MonkeyAce,Macaco Ás
HeliPilot,Helicóptero
MortarMonkey,Macaco Morteiro
WizardMonkey,Macaco Mago
DartlingGunner,Arma de Dardos
SuperMonkey,Super Macaco
NinjaMonkey,Macaco Ninja
Alchemist,Alquimista
Druid,Druida
BananaFarm,Fazenda
EngineerMonkey,Macaco Engenheiro
SpikeFactory,Usina de Espinhos
MonkeyAcademy,Academia Símia
MonkeyVillage,Vila Macaco
,
//Tower Descriptions,
DartMonkey Description,"Lança um único dardo contra Bloons próximos. Baixo alcance e perfuração, porém barato."
BoomerangMonkey Description,Lança um bumerangue que segue uma rota curva. Bom alcance e perfuração.
BombShooter Description,"Lança uma poderosa bomba contra os Bloons. Baixa cadência de tiro, mas afeta uma área ao redor da explosão."
TackShooter Description,Dispara uma rajada curta de tachinhas em oito direções.
IceMonkey Description,"Estoura e congela Bloons próximos por um momento. Bloons congelados ficam imunes a dano perfurante. Não congela Bloons Brancos, Zebras ou de Chumbo."
GlueGunner Description,Dispara uma bola de cola que reduz a velocidade dos Bloons em 50%.
SniperMonkey Description,Pode atirar contra Bloons que possam ser vistos em qualquer ponto da tela com um rifle e retira duas camadas de Bloons atingidos.
MonkeySub Description,Dispara torpedardos teleguiados contra Bloons próximos. Precisa ser posto na água.
MonkeyBuccaneer Description,Dispara um pesado dardo únicos dos dois lados do navio. Precisa ser posto na água.
MonkeyAce Description,Voa sobre o chão disparando rajadas de dardos altamente perfurantes.
HeliPilot Description,Sobrevoa a área sempre que você direcionar. Dispara duas armas de dardos pesados.
MortarMonkey Description,Lança uma cápsula explosiva de morteiro contra um ponto fixo em qualquer lugar da tela.
WizardMonkey Description,Lança raios de energia mágica contra os Bloons. Pode ser evoluído com várias magias poderosas.
DartlingGunner Description,Usa uma metralhadora de dardos. Mira onde você apontar na tela.
SuperMonkey Description,Dispara centenas de dardos em velocidade supersônica com imenso alcance.
NinjaMonkey Description,Macaco rápido e furtivo que lança estrelinhas afiadas para estourar Bloons. Pode atingir Bloons Camuflados.
Alchemist Description,"Controlando os poderes da ciência e da magia, encharca Bloons com ácido e prepara várias poções de diversos efeitos."
Druid Description,"Cria um estouro de espinhos a cada ataque. Evoluções podem invocar os poderes da Selva, da Tempestade ou da Fúria."
BananaFarm Description,Gera Bananas a cada rodada que se convertem em dinheiro de jogo para gastar com mais coisas.
EngineerMonkey Description,Segura um confiável dispara-pregos para estourar Bloons. Pode evoluir para criar suas próprias torres dispara-dardos.
SpikeFactory Description,Automaticamente cria pilhas de espinhos na pista adjacente. Excelente última linha de defesa.
MonkeyAcademy Description,"Local de educação e treinamento símio. Concede poderosos benefícios para Macacos Militares, Mágicos e Heróis. Gera um pouco de XP de herói a cada rodada."
MonkeyVillage Description,"Entreposto industrial símio, tem benefícios diversos para ajudar todos os seus macacos. Aumenta o alcance de todos os macacos próximos em 15%."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Capitão Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Arqueiro
StrikerJones Short Description,Comandante de Artilharia
CaptainChurchill Short Description,Tanque
Gwendolin Short Description,Piromaníaco
Benjamin Short Description,Macaco Hacker
PatFusty Short Description,Macaco Gigante
Ezili Short Description,Macaco Vodu
ObynGreenfoot Short Description,Guardião da Floresta
,
//Hero Description,
Quincy Description,"Orgulhoso, forte e inteligente, Quincy usa seu arco para executar feitos de grande habilidade."
StrikerJones Description,Striker Jones é um poderoso comandante que usa seu conhecimento de combate de longo alcance para aumentar bastante o poder dos explosivos.
CaptainChurchill Description,"Em seu tanque blindado, o Capitão é uma séria potência no campo de batalha."
Gwendolin Description,Gwendolin acredita que não há problema com Bloons que o fogo não resolva. Muito fogo.
Benjamin Description,"Usando seus conhecimentos hacker de elite, Benjamin pode gerar dinheiro extra para a causa."
PatFusty Description,Pat é um macaco imenso de enorme força. Seu tamanho e força únicos são uma grande vantagem na guerra aos Bloons.
Ezili Description,Ezili é um feiticeiro das artes obscuras e manipulador de Bloons. Cuidado. 
