//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
Tap,Toca
,
//Tower Names,
DartMonkey,Mono dardero
BoomerangMonkey,Mono bumeranero
BombShooter,Tirabombas
TackShooter,Tiratachuelas
IceMonkey,Mono gélido
GlueGunner,Artillero pegajoso
SniperMonkey,Mono francotirador
MonkeySub,Submonino
MonkeyBuccaneer,Mono bucanero
MonkeyAce,Mono as
HeliPilot,Helipiloto
MortarMonkey,Mono mortero
WizardMonkey,Mono mago
DartlingGunner,Artillero dardero
SuperMonkey,Supermono
NinjaMonkey,Mono ninja
Alchemist,Alquimista
Druid,Druida
BananaFarm,Bananal
EngineerMonkey,Mono ingeniero
SpikeFactory,Fábrica de clavos
MonkeyAcademy,Monoacademia
MonkeyVillage,Monoaldea
,
//Tower Descriptions,
DartMonkey Description,"Lanza un dardo a los bloons cercanos. Tiene alcance corto y poca perforación, pero es barato."
BoomerangMonkey Description,Arroja un búmeran de trayecto curvo. De alcance y perforación buenos.
BombShooter Description,"Lanza una bomba potente a los bloons. Frecuencia de disparo lenta, pero la explosión afecta el área cercana."
TackShooter Description,Dispara una volea de corto alcance de tachuelas filosas en 8 direcciones.
IceMonkey Description,"Revienta y congela a los bloons cercanos durante un tiempo corto. Los bloons congelados son inmunes al daño de filo. No congela bloons blancos, cebras ni emplomados."
GlueGunner Description,Dispara una bola de pegamento que hace que los bloons se muevan un 50 % más lento.
SniperMonkey Description,Dispara a los bloons que ve en cualquier lugar de la pantalla con un rifle de largo alcance y revienta 2 capas de los que reciben el impacto.
MonkeySub Description,Dispara torpedardos rastreadores a los bloons cercanos. Solo se puede colocar en el agua.
MonkeyBuccaneer Description,Dispara un dardo pesado de cada lado del barco. Solo se puede colocar en el agua.
MonkeyAce Description,Vuela mientras dispara voleas de dardos muy perforantes.
HeliPilot Description,Sobrevuela el área donde lo envías. Dispara dos armas de dardos pesados.
MortarMonkey Description,Lanza un proyectil de mortero explosivo a una ubicación determinada en cualquier parte de la pantalla.
WizardMonkey Description,Arroja rayos mágicos de energía a los bloons. Puede ganar varios hechizos poderosos a través de las mejoras.
DartlingGunner Description,Usa una ametralladora de dardos. Apunta hacia donde quieras en la pantalla.
SuperMonkey Description,Arroja cientos de dardos a velocidad hipersónica con un alcance de ataque enorme.
NinjaMonkey Description,Mono sigiloso y veloz que arroja shuriken para reventar a los bloons. Puede dispararles a los camufloons.
Alchemist Description,"Mediante el poder de la ciencia y la magia, arroja ácido a los bloons y prepara varias pociones con efectos diferentes."
Druid Description,"Crea un estallido de espinas en cada ataque. Las mejoras invocan poderes de la selva, la tormenta o la furia."
BananaFarm Description,"Genera bananas en cada ronda, que se convierten en dinero del juego que puedes gastar en más cosas."
EngineerMonkey Description,Usa una pistola de clavos eficaz que revienta bloons. Se puede mejorar para que cree sus propias torretas centinelas tiraclavos.
SpikeFactory Description,Genera pilas de abrojos de forma automática en el camino cercano. Excelente para la última línea de defensa.
MonkeyAcademy Description,"Lugar de educación y entrenamiento de monos. Otorga beneficios potentes para los monos militares, Magos y héroes. Genera una pequeña cantidad de PE de héroe en cada ronda."
MonkeyVillage Description,El centro de la industria moneril. Tiene varios beneficios diferentes para todos los monos. Aumenta el radio de todos los monos que abarca en un 15 %.
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Capitán Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Arquero
StrikerJones Short Description,Comandante de artillería
CaptainChurchill Short Description,Tanque
Gwendolin Short Description,Piromaníaca
Benjamin Short Description,Mono programador
PatFusty Short Description,Mono gigante
Ezili Short Description,Mono vudú
ObynGreenfoot Short Description,Guardabosques
,
//Hero Description,
Quincy Description,"Es orgulloso, fuerte e inteligente. Quincy usa el arco para realizar proezas asombrosas."
StrikerJones Description,Striker Jones es un comandante fuerte que usa su conocimiento en el combate de largo alcance para incrementar muchísimo el poder de los explosivos.
CaptainChurchill Description,"En su tanque de batalla blindado, el capitán es una fuerza imparable en el campo de batalla."
Gwendolin Description,Gwendolin cree que no hay ningún problema relacionado con los bloons que no se pueda resolver con fuego. Mucho fuego.
Benjamin Description,"Gracias a sus habilidades como hacker, Benjamin puede generar más dinero para la causa."
PatFusty Description,Pat es un Mono enorme con una fuerza tremenda. Su tamaño y potencia únicos lo hacen muy valioso para la lucha contra los bloons.
Ezili Description,Ezili utiliza las artes ocultas y manipula a los bloons. Cuidado.  
ObynGreenfoot Description,Obyn controla los poderes de la naturaleza y puede disparar a través de obstáculos sólidos con su ataque Lobo espiritual.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Las flechas de Quincy rebotan hasta impactar en 3 objetivos.
Quincy Level 2 Description,El ataque básico rebota hasta impactar en 4 objetivos.
Quincy Level 3 Description,Tiro rápido: velocidad de ataque triple por poco tiempo.
Quincy Level 4 Description,Alcance un poco más largo.
Quincy Level 5 Description,Usa la vista aguda para disparar a los camufloons.
Quincy Level 6 Description,Dispara 2 flechas a la vez.
Quincy Level 7 Description,Dispara flechas explosivas cada 3 tiros.
Quincy Level 8 Description,Las flechas hacen el triple de daño a los bloons clase MOAB.
Quincy Level 9 Description,El ataque básico rebota hasta impactar en 6 objetivos.
Quincy Level 10 Description,Tormenta de flechas: cubre una área grande con una lluvia de flechas mortíferas.
Quincy Level 11 Description,Velocidad de ataque aumentada.
Quincy Level 12 Description,Las flechas reciben más potencia reventadora.
Quincy Level 13 Description,Aumenta un poco el alcance.
Quincy Level 14 Description,Las flechas hacen el cuádruple de daño a los bloons clase MOAB.
Quincy Level 15 Description,La velocidad de ataque del tiro rápido se cuadruplica y se reduce el tiempo de recuperación.
Quincy Level 16 Description,Velocidad de ataque aumentada aún más.
Quincy Level 17 Description,Las flechas duran un 25 % más.
Quincy Level 18 Description,"Quincy ataca mas rápido, y la Tormenta de Flechas tarda menos en recuperarse y tiene un 50 % más de flechas."
Quincy Level 19 Description,Cada flecha recibe más potencia reventadora.
Quincy Level 20 Description,Quincy ataca aún más rápido. Tormenta de flechas hace más daño por flecha y dispara más.
,
StrikerJones Level 1 Description,Striker Jones dispara una bazuca potente para reventar a los bloons.
StrikerJones Level 2 Description,Radio de estallido aumentado.
StrikerJones Level 3 Description,Proyectil aturdidor: dispara un proyectil guiado al bloon más grande de la pantalla y lo aturde.
StrikerJones Level 4 Description,Todos los tirabombas y monos morteros en pantalla disparan un 10 % más rápido.
StrikerJones Level 5 Description,Hace que todos los bloons negros sean menos resistentes al daño explosivo de todos los monos.
StrikerJones Level 6 Description,Aumentan mucho el radio del estallido y la cantidad de bloons que revientan los ataques normales de Jones.
StrikerJones Level 7 Description,Revienta 2 capas por tiro y el radio de estallido de los monos morteros aumenta en un 10 %.
StrikerJones Level 8 Description,Los tirabombas cerca del héroe reciben +5 % de alcance y +25 % de perforación.
StrikerJones Level 9 Description,"Velocidad de ataque aumentada; perforación, daño y aturdimiento del Proyectil Aturdidor aumentados."
StrikerJones Level 10 Description,Orden de artillería: reinicia los tiempos de recuperación de todos los tirabombas y monos morteros.
StrikerJones Level 11 Description,Velocidad de ataque aumentada.
StrikerJones Level 12 Description,Aumenta un poco el alcance y los ataques revientan una capa extra.
StrikerJones Level 13 Description,Velocidad de ataque aumentada.
StrikerJones Level 14 Description,El proyectil aturdidor afecta a un área mayor durante más tiempo.
StrikerJones Level 15 Description,El tiempo de recuperación del proyectil aturdidor se reduce a 11 segundos.
StrikerJones Level 16 Description,Velocidad de ataque aumentada.
StrikerJones Level 17 Description,Alcance aumentado y los disparos revientan 4 capas por tiro.
StrikerJones Level 18 Description,Todos los tirabombas y monos morteros atacan un 10 % más rápido.
StrikerJones Level 19 Description,Aumenta la velocidad de ataque y hace que todos los bloons negros sean vulnerables al daño explosivo.
StrikerJones Level 20 Description,Orden de artillería también da el doble de daño y de bloons reventados por tiro a todos los tirabombas y monos morteros durante 10 segundos.
,
CaptainChurchill Level 1 Description,Las bombas perforadoras que dispara el tanque explotan hasta 3 veces.
CaptainChurchill Level 2 Description,Más potencia reventadora en cada disparo.
CaptainChurchill Level 3 Description,Proyectiles antiblindaje: los disparos revientan bloons negros y hacen más daño a los cerámicos. La duración aumenta con el nivel de Churchill.
CaptainChurchill Level 4 Description,Alcance de ataque aumentado.
CaptainChurchill Level 5 Description,Agrega una ametralladora de disparo rápido al tanque.
CaptainChurchill Level 6 Description,Unos binoculares permiten que Churchill reviente camufloons.
CaptainChurchill Level 7 Description,Los proyectiles infligen más daño y pueden explotar 4 veces en vez de 3.
CaptainChurchill Level 8 Description,Velocidad de ataque aumentada.
CaptainChurchill Level 9 Description,Los proyectiles pueden explotar 5 veces.
CaptainChurchill Level 10 Description,AntiMOAB: dispara una ráfaga de proyectiles a un máximo de 10 bloons clase MOAB en pantalla y hace mucho daño en cada oportunidad.
CaptainChurchill Level 11 Description,Aumenta la potencia reventadora de cada proyectil.
CaptainChurchill Level 12 Description,Los proyectiles tienen más daño aumentado y pueden explotar 6 veces.
CaptainChurchill Level 13 Description,Los proyectiles antiblindaje revientan 2 capas de bloons y hacen más daño a los cerámicos o superiores.
CaptainChurchill Level 14 Description,La Ametralladora y el Arma Principal pueden reventar 1 capa adicional por disparo.
CaptainChurchill Level 15 Description,Todos los ataques hacen daño adicional a los bloons fortificados.
CaptainChurchill Level 16 Description,Velocidad de ataque aumentada.
CaptainChurchill Level 17 Description,Los proyectiles antiblindaje hacen aún más daño.
CaptainChurchill Level 18 Description,Todos los proyectiles revientan una capa extra de bloons.
CaptainChurchill Level 19 Description,Los proyectiles pueden explotar 7 veces.
CaptainChurchill Level 20 Description,Las ráfagas de proyectiles antiMOAB y el cañón principal hacen mucho más daño por impacto.
,
Gwendolin Level 1 Description,Destruye a los bloons con el fuego de su piroarma.
Gwendolin Level 2 Description,Aumenta un poco la potencia reventadora de cada disparo.
Gwendolin Level 3 Description,Cóctel de fuego: lanza un frasco de líquido inflamable. Los bloons que atraviesan el fuego se queman.
Gwendolin Level 4 Description,"Caliéntalo: cada varios segundos, crea una onda de fuego poderosa que revienta los bloons y le agrega fuego a los ataques de los monos cercanos."
Gwendolin Level 5 Description,Potencia reventadora aumentada.
Gwendolin Level 6 Description,Los ataques causan un efecto de quemadura en el bloon objetivo.
Gwendolin Level 7 Description,Caliéntalo tiene un radio aumentado y Cóctel de fuego es más eficaz.
Gwendolin Level 8 Description,Lanza 2 estallidos de fuego por disparo.
Gwendolin Level 9 Description,El impacto inicial de cada onda revienta 1 capa extra.
Gwendolin Level 10 Description,"Tormenta de Fuego: Le da lumbre a toda la pantalla, quemando a todos los Bloons y otorgando la potenciación Caliéntalo a todos los Monos."
Gwendolin Level 11 Description,Alcance de ataque aumentado.
Gwendolin Level 12 Description,Velocidad de ataque aumentada.
Gwendolin Level 13 Description,"Se aumentó mucho el poder reventador; además, los proyectiles se mueven más rápido y duran más."
Gwendolin Level 14 Description,El Cóctel de Fuego hace daño extra y le da lumbre a todos los Bloons clase MOAB.
Gwendolin Level 15 Description,Velocidad de ataque aumentada.
Gwendolin Level 16 Description,Tormenta de fuego dura más. Los bloons morados ya no son inmunes a los ataques de Gwendolin.
Gwendolin Level 17 Description,Caliéntalo hace que los monos afectados revienten 1 capa extra y hagan +2 de daño a los bloons emplomados.
Gwendolin Level 18 Description,Velocidad de ataque aumentada.
Gwendolin Level 19 Description,Lanza 3 estallidos de fuego por disparo.
Gwendolin Level 20 Description,Aumenta muchísimo el daño de Tormenta de fuego.
,
Benjamin Level 1 Description,Consigue $100 por ronda.
Benjamin Level 2 Description,Genera $150 por ronda en vez de $100.
Benjamin Level 3 Description,Biohackeo: los 4 monos más cercanos revientan una capa más por ataque durante 6 segundos. Los monos afectados no pueden atacar durante 2 segundos cuando termina el efecto.
Benjamin Level 4 Description,Skimming: gana +$1 por cada bloon nuevo que se genera.
Benjamin Level 5 Description,Hackeo bancario: todos los bancos ganan +5 % de ingresos.
Benjamin Level 6 Description,Ciberseguridad: restaura 5 vidas al final de cada ronda.
Benjamin Level 7 Description,"Troyano de bloons: cada unos segundos, envía un virus troyano a un bloon aleatorio. El bloon afectado no engendra bloons cuando queda destruido y produce dinero x1 por cada capa."
Benjamin Level 8 Description,Ingresos aumentados a $250 por ronda.
Benjamin Level 9 Description,Hackeo bancario aumentado al 12 %.
Benjamin Level 10 Description,Desvío de fondos: degrada 1 rango a la mayoría de los bloons recién generados y duplica el dinero por cada bloon afectado que se revienta. Dura 10 segundos.
Benjamin Level 11 Description,Ingresos aumentados a $300 por ronda.
Benjamin Level 12 Description,Skimming aumentado a $2 por Bloon.
Benjamin Level 13 Description,Biohackeo aumenta el daño adicional y afecta a 6 Monos durante 8 segundos.
Benjamin Level 14 Description,Ciberseguridad otorga 10 vidas por ronda y puede llegar a 100 más que las iniciales.
Benjamin Level 15 Description,Ingresos aumentados a $500 por ronda.
Benjamin Level 16 Description,Troyano de bloons se envía más seguido y gana más dinero.
Benjamin Level 17 Description,Ingresos aumentados a $800 por ronda.
Benjamin Level 18 Description,Troyano de bloons afecta a los bloons BFB y DDT.
Benjamin Level 19 Description,Biohackeo dura 9 segundos y los monos afectados revientan 3 capas más en lugar de 2.
Benjamin Level 20 Description,Desvío de fondos dura 20 segundos y el dinero obtenido por reventar los bloons afectados es el triple de lo normal.
,
PatFusty Level 1 Description,Pat aplasta a los bloons contra el piso.
PatFusty Level 2 Description,Aumenta el radio del golpe.
PatFusty Level 3 Description,Rugido arengador: todos los monos cercanos revientan +1 capa. Dura poco tiempo.
PatFusty Level 4 Description,Velocidad de ataque aumentada.
PatFusty Level 5 Description,A veces da una bofetada potente que aleja a los bloons de la salida.
PatFusty Level 6 Description,Los bloons golpeados por Pat quedan aturdidos por poco tiempo.
PatFusty Level 7 Description,Poder reventador y daño aumentados.
PatFusty Level 8 Description,Velocidad de ataque aumentada.
PatFusty Level 9 Description,Alcance de ataque aumentado.
PatFusty Level 10 Description,"Apretón: agarra un bloon MOAB, BFB, DDT (si es visible) o ZOMG y lo aplasta hasta hacerlo añicos durante 5 segundos."
PatFusty Level 11 Description,Los ataques revientan más capas.
PatFusty Level 12 Description,Velocidad de ataque aumentada.
PatFusty Level 13 Description,El ataque aturde a los bloons durante más tiempo y puede aturdir a los de clase MOAB por muy poco tiempo.
PatFusty Level 14 Description,"Radio y duración del Rugido Arengador aumentados, y daño de los Monos arengados aumentado."
PatFusty Level 15 Description,La bofetada afecta a más bloons.
PatFusty Level 16 Description,Alcance de ataque aumentado y daño extra a cerámica.
PatFusty Level 17 Description,Velocidad de ataque aumentada.
PatFusty Level 18 Description,Potencia reventadora aumentada.
PatFusty Level 19 Description,Los ataques revientan más capas.
PatFusty Level 20 Description,Apretón puede agarrar más bloons grandes a la vez.
,
ObynGreenfoot Level 1 Description,Envía espíritus lupinos que atacan a los bloons.
ObynGreenfoot Level 2 Description,La Furia de la Naturaleza: Todos los Druidas a su alcance reciben +1 de perforación.
ObynGreenfoot Level 3 Description,Crea un arbusto espinoso en el camino capaz de reventar 50 Bloons.
ObynGreenfoot Level 4 Description,"Cada 18 segundos, crea un tótem que lentifica un 30 % a los bloons cercanos. Efecto reducido contra los MOAB."
ObynGreenfoot Level 5 Description,Velocidad de ataque aumentada. Los druidas de la selva tienen mayor alcance.
ObynGreenfoot Level 6 Description,Poder reventador aumentado y los proyectiles se mueven más rápido.
ObynGreenfoot Level 7 Description,Los Zarzales pueden reventar 80 Bloons.
ObynGreenfoot Level 8 Description,Los tótems de Centinela de la naturaleza hacen que los bloons sean un 40 % más lentos.
ObynGreenfoot Level 9 Description,Los ataques revientan capas extra. Los druidas de la tormenta causan tormentas mayores que dañan más a los MOAB.
ObynGreenfoot Level 10 Description,"Pared de árboles: invoca una pared de árboles que atraviesa el camino y destruye a todos los bloons que entran. Cuando se llena, los árboles estallan y arrojan dinero."
ObynGreenfoot Level 11 Description,"La Claridad de la Naturaleza: Todos los Monos Mágicos a su alcance reciben +5 de alcance y +2 de perforación, y los Druidas reciben +1 de perforación adicional."
ObynGreenfoot Level 12 Description,Velocidad de ataque aumentada y recuperación de monos mágicos reducida en 5 %.
ObynGreenfoot Level 13 Description,Poder reventador y velocidad de proyectiles aumentados aún más.
ObynGreenfoot Level 14 Description,Los ataques revientan capas extra.
ObynGreenfoot Level 15 Description,Centinela de la naturaleza hace que los bloons se muevan un 60 % más lento y tiene un tiempo de recuperación reducido.
ObynGreenfoot Level 16 Description,Los Zarzales revientan 500 Bloons cada uno y hacen daño a todos los tipos de Bloons.
ObynGreenfoot Level 17 Description,Velocidad de ataque aumentada.
ObynGreenfoot Level 18 Description,Furia mejorada: el conteo de bloons reventados de todos los druidas de furia empieza en 200 en cada ronda.
ObynGreenfoot Level 19 Description,Los ataques revientan capas extra.
ObynGreenfoot Level 20 Description,Pared de árboles puede contener muchos más bloons.
,
Ezili Level 1 Description,Ezili maldice a los bloons con poder vudú oscuro.
Ezili Level 2 Description,Alcance de ataque aumentado.
Ezili Level 3 Description,Infartador: impide cualquier regeneración durante 6 segundos.
Ezili Level 4 Description,El ataque principal de Ezili ahora maldice a varios bloons.
Ezili Level 5 Description,Velocidad de ataque aumentada.
Ezili Level 6 Description,El daño por tiempo dura más y daña más rápido.
Ezili Level 7 Description,"Tótem sacrificial: otorga detección de camuflaje y aumento de perforación, alcance de ataque, velocidad de ataque y velocidad de proyectiles a los Monos cercanos. Gasta 10 vidas."
Ezili Level 8 Description,El ataque de Ezili hace mucho más daño a los bloons clase MOAB.
Ezili Level 9 Description,"El ataque de Ezili les quita las propiedades de camuflaje, regeneración y fortificación a los bloons que no son de clase MOAB."
Ezili Level 10 Description,"Maleficio de MOAB: maldice a un bloon clase MOAB, que recibe daño por segundo hasta quedar eliminado."
Ezili Level 11 Description,Alcance de ataque aumentado. Aumenta la perforación de bloons reanimados en 50 %.
Ezili Level 12 Description,Reduce el tiempo de recuperación de Infartador y aumenta la duración. Causa más daño a los MOAB.
Ezili Level 13 Description,El ataque básico tiene un daño de proximidad de radio mayor y una perforación aumentada.
Ezili Level 14 Description,Daño por tiempo más rápido.
