//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
Tap,Peka
,
//Tower Names,
DartMonkey,Pilskjutarapa
BoomerangMonkey,Bumerangapa
BombShooter,Bombskytt
TackShooter,Stiftskjutare
IceMonkey,Isapa
GlueGunner,Klisterskjutare
SniperMonkey,Prickskyttsapa
MonkeySub,Apubåt
MonkeyBuccaneer,Piratapa
MonkeyAce,Pilotapa
HeliPilot,Helipilot
MortarMonkey,Granatkastarapa
WizardMonkey,Trollkarlsapa
DartlingGunner,Pilspruteskytt
SuperMonkey,Stålapan
NinjaMonkey,Apninja
Alchemist,Alkemist
Druid,Druid
BananaFarm,Bananodling
EngineerMonkey,Apingenjör
SpikeFactory,Spikfabrik
MonkeyAcademy,Apakademi
MonkeyVillage,Apby
,
//Tower Descriptions,
DartMonkey Description,Kastar en enkild pil på Bloons i närheten. Kort räckvidd och lågt genomslag men billig.
BoomerangMonkey Description,Kastar en bumerang som följer en svängd bana. Bra räckvidd och genomslag.
BombShooter Description,Avfyrar en kraftfull bomb mot Bloons. Långsam eldgivningshastighet men påverkar en radie runt explosionen.
TackShooter Description,Skjuter en salva med kort räckvidd med vassa nubb i 8 riktningar.
IceMonkey Description,"Smäller och fryser Bloons i närheten en kort stund. Frusna Bloons är immuna mot vass skada. Kan inte frysa Vita, Zebra- eller Blybloons."
GlueGunner Description,Skjuter en klick med klister som gör Bloons 50 % långsammare.
SniperMonkey Description,Kan skjuta synliga Bloons var som helst på skärmen med långdistansgevär och smäller bort 2 lager från Bloons som träffas.
MonkeySub Description,Skjuter målsökande torpedpilar på Bloons i närheten. Måste placeras i vatten.
MonkeyBuccaneer Description,"Skjuter en enkild, tung pil från båda sidor av fartyget. Måste placeras i vatten."
MonkeyAce Description,Flyger över marken och skjuter pilsalvor med högt genomslag.
HeliPilot Description,Svävar där du skickar den. Skjuter från dubbla tunga pilkanoner.
MortarMonkey Description,Avfyrar en exploderande granat mot en bestämd plats var som helst på skärmen.
WizardMonkey Description,Slungar magiska energiblixtar mot Bloons. Kan uppgraderas till flera kraftfulla formler.
DartlingGunner Description,Använder ett pilskjutande maskingevär. Siktar dit du pekar på skärmen.
SuperMonkey Description,Kastar hundratals pilar med överljudsfart med lång attackräckvidd.
NinjaMonkey Description,Svårupptäckt och snabb apa som kastar vassa shurikens som smäller Bloons. Kan smälla Kamo-Bloons.
Alchemist Description,"Utnyttjar kraften hos vetenskap och magi, stänker syra på Bloons och brygger även olika trolldrycker med olika effekt."
Druid Description,"Skapar en svärm med taggar för varje attack. Uppgraderingar kan utnyttja djungel-, storm- eller vredeskraft."
BananaFarm Description,Alstrar bananer varje spelrunda som omvandlas till spelpengar som kan användas för inköp.
EngineerMonkey Description,Har en pålitlig spikpistol som kan smälla Bloons. Kan uppgraderas för att skapa egna spikskjutande vakttorn.
SpikeFactory Description,Skapar automatiskt högar med vägspikar på intilliggande vägar. Utmärkt sista försvarslinje.
MonkeyAcademy Description,"Plats där apor utbildas och tränas. Ger kraftfulla fördelar för militärer, magiker och aphjältar. Alstrar en liten mängd hjälte-XP varje runda."
MonkeyVillage Description,"Apindustriområde, erbjuder ett antal olika fördelar som hjälper alla dina apor. Ökar räckvidden för alla apor inom sin räckvidd med 10 %.  "
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Kapten Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
