//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
Tap,แตะ
,
//Tower Names,
DartMonkey,ลิงลูกดอก
BoomerangMonkey,ลิงบูมเมอแรง
BombShooter,เครื่องยิงระเบิด
TackShooter,เครื่องยิงตะปู
IceMonkey,ลิงน้ำแข็ง
GlueGunner,ลิงปืนกาว
SniperMonkey,ลิงซุ่มยิง
MonkeySub,ลิงเรือดำน้ำ
MonkeyBuccaneer,ลิงโจรสลัด
MonkeyAce,ลิงเครื่องบิน
HeliPilot,ลิงเฮลิคอปเตอร์
MortarMonkey,ลิงปืนครก
WizardMonkey,ลิงผู้วิเศษ
DartlingGunner,ลิงดาร์ทลิ่ง
SuperMonkey,ซูเปอร์มังกี้
NinjaMonkey,ลิงนินจา
Alchemist,ลิงนักแปรธาตุ
Druid,ลิงดรูอิด
BananaFarm,ฟาร์มกล้วย
EngineerMonkey,ลิงวิศวกร
SpikeFactory,โรงงานตะปู
MonkeyAcademy,วิทยาลัยลิง
MonkeyVillage,หมู่บ้านลิง
,
//Tower Descriptions,
DartMonkey Description,ขว้างลูกดอกหนึ่งลูกใส่ลูกโป่งที่อยู่ใกล้เคียง ระยะโจมตีใกล้ โจมตีศัตรูได้น้อย แต่ราคาถูก
BoomerangMonkey Description,ขว้างบูมเมอแรงโจมตีเป็นวิถีโค้ง ระยะโจมตีและจำนวนศัตรูที่โจมตีได้อยู่ในระดับดี
BombShooter Description,ยิงระเบิดอันทรงพลังโจมตีลูกโป่ง ความเร็วการยิงต่ำ แต่จุดที่ระเบิดสร้างความเสียหายเป็นพื้นที่
TackShooter Description,ยิงตะปูแหลมคมจำนวนมากโจมตีระยะใกล้ 8 ทิศทาง
IceMonkey Description,เจาะและแช่แข็งลูกโป่งที่อยู่ใกล้เคียงเป็นระยะเวลาสั้นๆ ลูกโป่งที่ถูกแช่แข็งจะไม่ได้รับดาเมจแหลมคม ไม่สามารถแช่แข็งลูกโป่งสีขาว ลูกโป่งม้าลาย และลูกโป่งตะกั่ว
GlueGunner Description,ยิงก้อนกาวเหนียวเหนอะที่ลดความเร็วลูกโป่งลง 50%
SniperMonkey Description,ยิงลูกโป่งในระยะสายตาของตนที่ตำแหน่งใดก็ได้บนจอด้วยไรเฟิลพิสัยไกล เจาะลูกโป่งที่ถูกยิง 2 ชั้น
MonkeySub Description,ยิงตอร์ปิดาร์ทแบบติดตามเป้าหมายใส่ลูกโป่งที่อยู่ใกล้เคียง ต้องวางในน้ำ
MonkeyBuccaneer Description,ยิงลูกดอกหนักจากสองฝั่งเรือ ต้องวางในน้ำ
