//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
Tap,Dokun
,
//Tower Names,
DartMonkey,Okçu Maymun
BoomerangMonkey,Bumerang Maymun
BombShooter,Bomba Fırlatıcı
TackShooter,Çivi Atıcı
IceMonkey,Buz Maymunu
GlueGunner,Yapışkan Nişancı
SniperMonkey,Nişancı Maymun
MonkeySub,Maymun Denizaltı
MonkeyBuccaneer,Korsan Maymun
MonkeyAce,Pilot Maymun
HeliPilot,Helikopter Pilotu
MortarMonkey,Havancı Maymun
WizardMonkey,Sihirbaz Maymun
DartlingGunner,Ok Nişancısı
SuperMonkey,Süper Maymun
NinjaMonkey,Ninja Maymun
Alchemist,Simyacı
Druid,Medyum
BananaFarm,Muz Çiftliği
EngineerMonkey,Mühendis Maymun
SpikeFactory,Çivi Fabrikası
MonkeyAcademy,Maymun Akademisi
MonkeyVillage,Maymun Köyü
,
//Tower Descriptions,
DartMonkey Description,"Yakındaki Bloon’lara tek bir ok fırlatır. Kısa menzil, düşük delme ama ucuz."
BoomerangMonkey Description,Kavisli bir yol izleyen bir bumerang fırlatır. Menzil ve delme iyi.
BombShooter Description,Bloon’lara güçlü bir bomba fırlatır. Atış hızı yavaştır ancak patlama alanında bir yarıçapı etkiler.
TackShooter Description,8 yönde kısa menzilli bir keskin çivi yağmuruna tutar.
IceMonkey Description,"Bloon’ları patlatır ve yakındakileri kısa süreliğine dondurur. Donmuş Bloon'lar keskin hasara karşı dayanıklıdır. Beyaz, Zebra veya Kurşun Bloon’lar dondurulamaz."
GlueGunner Description,Bloon’ları %50 yavaşlatan bir yapışkan kütle fırlatır.
SniperMonkey Description,Uzun menzilli tüfekle ekranın herhangi bir yerinde görebildiği Bloon’ları vurabilir ve onunla vurulan Bloon’ların 2 katmanını patlatır.
MonkeySub Description,Yakındaki Bloon’lara öz güdümlü torp-id-oklar fırlatır. Suya yerleştirilmesi gerekir.
MonkeyBuccaneer Description,Geminin her iki yanından tek bir ağır ok fırlatır. Suya yerleştirilmesi gerekir.
MonkeyAce Description,Yerden yüksekte uçarak yüksek delici ok yağmuruna tutar.
HeliPilot Description,Yönelttiğiniz yerin üzerine gider. Ağır ikiz ok tabancalarıyla vurur.
MortarMonkey Description,Ekranda herhangi bir sabit konuma patlayan havan mermileri fırlatır.
WizardMonkey Description,Bloon’lara sihirli enerji yıldırımları fırlatır. Çeşitli güçlere sahip mermilere yükseltilebilir.
DartlingGunner Description,Ok fırlatan bir makineli tüfek kullanır. Ekranda dokunduğun yeri hedefler.
SuperMonkey Description,Yüksek saldırı menziliyle hipersonik hızda yüzlerce ok fırlatır.
NinjaMonkey Description,Bloon’ları patlatmak için bıçaklı Ninja yıldızları fırlatan sinsi ve hızlı Maymun. Kamuflajlı Bloon’ları hedefleyebilir.
Alchemist Description,"Bilim ve sihrin güçlerinden yararlanarak Bloon’lara asit sıçratır ve ayrıca, farklı etkilere sahip çeşitli iksirler hazırlar."
Druid Description,"Her bir saldırı için bir diken dalgası oluşturur. Yükseltmeler Orman, Fırtına veya Gazap güçlerini ortaya çıkarabilir."
BananaFarm Description,"Her turda, daha fazla eşya almak için harcayabileceğin oyun parasına dönüşen Muzlar oluşturur."
EngineerMonkey Description,"Bloon’ları patlatmak için sağlam bir çivi silahı kullanır. Kendine ait, çivi fırlatan gözcü kuleleri oluşturmak üzere yükseltilebilir."
SpikeFactory Description,Yakındaki parkur üzerinde otomatik olarak bir yığın Yol Çivisi oluşturur. Mükemmel bir son savunma hattı.
MonkeyAcademy Description,"Maymun eğitim ve öğretim yeri. Asker, Sihirli ve Kahraman Maymunlar için çok önemli yararlar sağlar. Her turda az miktarda Kahraman XP’si oluşturur."
MonkeyVillage Description,"Maymun endüstrisi merkezi, tüm Maymunlarına yardımcı olman için çok çeşitli yararlar sağlar. Tüm Maymunların kapsadıkları yarıçapı %15 artırır."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Vurucu Jones
CaptainChurchill,Yüzbaşı Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Okçu
StrikerJones Short Description,Topçu Komutanı
CaptainChurchill Short Description,Tank
Gwendolin Short Description,Kundakçı
Benjamin Short Description,Kodcu Maymun
PatFusty Short Description,Dev Maymun
Ezili Short Description,Vuducu Maymun
ObynGreenfoot Short Description,Ormancı
,
//Hero Description,
Quincy Description,"Gururlu, güçlü ve zeki Quincy, yayını kullanarak cesaret isteyen inanılmaz beceriler sergiler."
StrikerJones Description,Patlayıcıların gücünü önemli ölçüde artırmak için uzun mesafeli savaşla ilgili bilgilerini kullanan Vurucu Jones güçlü bir Komutandır.
CaptainChurchill Description,"Zırhlı savaş tankındaki Yüzbaşı, savaş alanında pratik ve etkin bir güçtür."
Gwendolin Description,"Gwendolin, atış yaparak çözülemeyecek hiçbir Bloon problemi olmadığına inanır. Bir sürü atış."
Benjamin Description,"Elit bilgisayar korsanlığı becerilerini kullanan Benjamin, amaçlar doğrultusunda fazladan para oluşturabilir."
PatFusty Description,"Pat, muazzam güce sahip dev bir maymundur. Benzersiz boyutu ve gücü, Bloon’larla savaşırken son derece yararlıdır."
Ezili Description,"Ezili, karanlık sanatlarda ustadır ve Bloon’ları manipüle edebilir. Dikkatli ol.  "
