//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Click
Tap,Tap
,
//Tower Names,
DartMonkey,Dart Monkey
BoomerangMonkey,Boomerang Monkey
BombShooter,Bomb Shooter
TackShooter,Tack Shooter
IceMonkey,Ice Monkey
GlueGunner,Glue Gunner
SniperMonkey,Sniper Monkey
MonkeySub,Monkey Sub
MonkeyBuccaneer,Monkey Buccaneer
MonkeyAce,Monkey Ace
HeliPilot,Heli Pilot
MortarMonkey,Mortar Monkey
WizardMonkey,Wizard Monkey
DartlingGunner,Dartling Gunner
SuperMonkey,Super Monkey
NinjaMonkey,Ninja Monkey
Alchemist,Alchemist
Druid,Druid
BananaFarm,Banana Farm
EngineerMonkey,Engineer Monkey
SpikeFactory,Spike Factory
MonkeyAcademy,Monkey Academy
MonkeyVillage,Monkey Village
,
//Tower Descriptions,
DartMonkey Description,Throws a single dart at nearby Bloons. Short range and low pierce but cheap.
BoomerangMonkey Description,Hurls a boomerang that follows a curved path. Good range and pierce.
BombShooter Description,Launches a powerful bomb at the Bloons. Slow rate of fire but affects a radius around the explosion.
TackShooter Description,Shoots a short-range volley of sharp tacks in 8 directions.
IceMonkey Description,"Pops and freezes nearby Bloons for a short time. Frozen Bloons are immune to sharp damage. Can't freeze White, Zebra or Lead Bloons."
GlueGunner Description,Shoots a blob of sticky glue that slows Bloons down by 50%.
SniperMonkey Description,"Can shoot Bloons it can see anywhere on the screen with a long-range rifle, and pops 2 layers off Bloons hit by it."
MonkeySub Description,Shoots homing torp-e-darts at nearby Bloons. Must be placed in water.
MonkeyBuccaneer Description,"Shoots a single, heavy dart from both sides of the ship. Must be placed in water."
MonkeyAce Description,Flies above the ground shooting volleys of high-pierce darts.
HeliPilot Description,Hovers wherever you direct it. Shoots from twin heavy dart guns.
MortarMonkey Description,Launches an exploding mortar shell to a fixed location anywhere on the screen.
WizardMonkey Description,Hurls magical bolts of energy at the Bloons. Can upgrade to a variety of powerful spells.
DartlingGunner Description,Uses a dart-shooting machine-gun. Aims wherever you point on the screen.
SuperMonkey Description,Throws hundreds of darts at hypersonic speed with a huge attack range.
NinjaMonkey Description,Stealthy and fast Monkey that throws bladed shurikens to pop the Bloons. Can target Camo Bloons.
Alchemist Description,"Harnessing powers of science and magic, splashes Bloons with acid, also brews various potions with different effects."
Druid Description,"Creates a blast of thorns for each attack. Upgrades can call forth powers of the Jungle, Storm or Wrath."
BananaFarm Description,Generates Bananas each round that convert into game money to spend on more stuff.
EngineerMonkey Description,Holds a trusty nail-gun to pop the Bloons. Can upgrade to create its own nail-shooting sentry turrets.
SpikeFactory Description,Automatically generates piles of Road Spikes on the nearby track. Excellent last line of defense.
MonkeyAcademy Description,"Place of Monkey education and training. Grants powerful benefits for Military, Magic and Hero Monkeys. Generates a small amount of Hero XP every round."
MonkeyVillage Description,"Hub of Monkey industry, has a number of different benefits to aid all of your Monkeys. Increases range of all monkeys in its radius by 10%.  "
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Captain Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Archer
StrikerJones Short Description,Artillery Commander
CaptainChurchill Short Description,Tank
Gwendolin Short Description,Pyromaniac
Benjamin Short Description,Code Monkey
PatFusty Short Description,Giant Monkey
Ezili Short Description,Voodoo Monkey
ObynGreenfoot Short Description,Forest Guardian
,
//Hero Description,
Quincy Description,"Proud, strong and intelligent, Quincy uses his bow to perform feats of amazing skill."
StrikerJones Description,Striker Jones is a strong Commander who uses his knowledge of long range combat to greatly boost the power of explosives.
CaptainChurchill Description,"In his armored battle tank, the Captain is a no-nonsense powerhouse on the battlefield."
Gwendolin Description,Gwendolin believes there hasn't yet been a Bloon problem that can't be solved with fire. Lots of fire.
Benjamin Description,"Using his elite hacking skills, Benjamin can generate extra money for the cause."
PatFusty Description,Pat is a huge Monkey of enormous strength. His unique size and power is a great asset in the war on Bloons.
Ezili Description,Ezili is a wielder of dark arts and manipulator of Bloons. Beware. 
ObynGreenfoot Description,"Commanding powers of nature, Obyn can shoot through solid obstacles with his spirit wolf attack."
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincy's arrows bounce to up to 3 different targets.
Quincy Level 2 Description,Base attack bounces to up to 4 targets.
Quincy Level 3 Description,Rapid Shot: Triple attack speed for a short time.
Quincy Level 4 Description,Slightly longer range.
Quincy Level 5 Description,Uses his sharp eyesight to shoot Camo Bloons.
Quincy Level 6 Description,Shoots 2 arrows at a time.
Quincy Level 7 Description,Fires exploding arrows every 3rd shot.
Quincy Level 8 Description,Arrows do triple damage to MOAB-Class Bloons.
Quincy Level 9 Description,Base attack bounces to up to 6 targets.
Quincy Level 10 Description,Storm of Arrows: Covers a large area in a deadly rain of arrows.
Quincy Level 11 Description,Increased attack speed.
Quincy Level 12 Description,Each arrow gets more popping power.
Quincy Level 13 Description,Small range increase.
Quincy Level 14 Description,Arrows do quad damage to MOAB-Class Bloons.
Quincy Level 15 Description,Rapid Shot becomes x4 attack speed and cooldown is reduced.
Quincy Level 16 Description,More increased attack speed.
Quincy Level 17 Description,Arrows last 25% longer.
Quincy Level 18 Description,Quincy attacks faster and Storm of Arrows has reduced cooldown and 50% more arrows.
Quincy Level 19 Description,Each arrow gets even more popping power.
Quincy Level 20 Description,Quincy attacks even faster. Storm of Arrows deals more damage per arrow and fires even more arrows.
,
StrikerJones Level 1 Description,Striker Jones shoots a powerful bazooka to explode the Bloons.
StrikerJones Level 2 Description,Increased blast radius.
StrikerJones Level 3 Description,"Concussive Shell: Shoots a guided shell to the largest Bloon on screen, stunning it."
StrikerJones Level 4 Description,All Bomb Shooters and Mortar Monkeys on screen shoot 10% faster.
StrikerJones Level 5 Description,Makes all Black Bloons less resistant to explosive damage from all Monkeys.
StrikerJones Level 6 Description,Blast radius and pops for Jones' normal attacks increases greatly.
StrikerJones Level 7 Description,Pops 2 layers per shot and Mortar Monkeys blast radius increased by 10%.
StrikerJones Level 8 Description,Bomb Shooters near the hero get +5% range and +25% pierce.
StrikerJones Level 9 Description,"Increased attack speed and increased Concussive Shell pierce, damage, and stun."
StrikerJones Level 10 Description,Artillery Command: Resets cooldown on all Bomb Shooters and Mortar Monkeys.
StrikerJones Level 11 Description,Increased attack speed.
StrikerJones Level 12 Description,Slightly increased attack range and extra layer pop.
StrikerJones Level 13 Description,Increased attack speed.
StrikerJones Level 14 Description,Concussive Shell affects a larger area and for a longer duration.
StrikerJones Level 15 Description,Concussive Shell cooldown reduced to 11 seconds.
StrikerJones Level 16 Description,Increased attack speed.
StrikerJones Level 17 Description,Increased range and pops 4 layers per shot.
StrikerJones Level 18 Description,All Bomb Shooters and Mortar Monkeys attack an additional 10% faster.
StrikerJones Level 19 Description,Increased attack speed and makes all Black Bloons vulnerable to explosive damage.
StrikerJones Level 20 Description,Artillery Command also gives double damage and pops per shot to all Bomb Shooters and Mortar Monkeys for 10 seconds.
,
CaptainChurchill Level 1 Description,Piercing bombs shot from the tank can explode up to 3 times.
CaptainChurchill Level 2 Description,Increased popping power per shot.
CaptainChurchill Level 3 Description,Armor Piercing Shells: Shots can pop Black Bloons and do extra damage to Ceramic Bloons. Duration increases as Churchill levels.
CaptainChurchill Level 4 Description,Increased attack range.
CaptainChurchill Level 5 Description,Adds a fast firing machine gun attack to the tank.
CaptainChurchill Level 6 Description,Binoculars allow Churchill to pop Camo Bloons.
CaptainChurchill Level 7 Description,Shells deal more damage and can explode 4 times instead of 3.
CaptainChurchill Level 8 Description,Increased attack speed.
CaptainChurchill Level 9 Description,Shells can explode 5 times.
CaptainChurchill Level 10 Description,"MOAB Barrage: Launches a barrage of shells at up to 10 MOAB-Class Bloons on screen, dealing massive damage each time."
CaptainChurchill Level 11 Description,Increased popping power per shell.
CaptainChurchill Level 12 Description,Shells get additional increased damage and can explode 6 times.
CaptainChurchill Level 13 Description,Armor Piercing Shells pop 2 layers of Bloon and do extra damage to Ceramic and higher.
CaptainChurchill Level 14 Description,Machine Gun and Main Gun can pop 1 additional layer per shot.
CaptainChurchill Level 15 Description,All attacks do extra damage vs Fortified Bloons.
CaptainChurchill Level 16 Description,Increased attack speed.
CaptainChurchill Level 17 Description,Armor Piercing Shells do even more damage.
CaptainChurchill Level 18 Description,All shells pop an extra layer of Bloon.
CaptainChurchill Level 19 Description,Shells can explode 7 times.
CaptainChurchill Level 20 Description,MOAB Barrage shells and Main Gun do massively increased damage per hit.
,
Gwendolin Level 1 Description,Blasts Bloons with fire from her pyro gun.
Gwendolin Level 2 Description,Slightly increased popping power per shot.
Gwendolin Level 3 Description,"Cocktail of Fire: Hurls a flask of flammable liquid, burning Bloons that pass through the fire."
Gwendolin Level 4 Description,Heat it up - Every few seconds creates a powerful blast wave of fire that pops Bloons and adds fire to nearby Monkeys’ attacks.
Gwendolin Level 5 Description,Increased popping power.
Gwendolin Level 6 Description,Attacks cause a burn effect on target Bloon.
Gwendolin Level 7 Description,Heat it up has increased radius.
Gwendolin Level 8 Description,Shoots 2 blasts of fire per shot.
Gwendolin Level 9 Description,Initial hit per blast pops 1 extra layer.
Gwendolin Level 10 Description,"Firestorm: Sets the whole screen alight, burning all Bloons and granting the Heat It Up buff to all Monkeys."
Gwendolin Level 11 Description,Increased attack range.
Gwendolin Level 12 Description,Increased attack speed.
Gwendolin Level 13 Description,"Greatly increased popping power, plus projectiles move faster and last longer."
Gwendolin Level 14 Description,Cocktail of Fire does extra damage and sets MOAB class Bloons alight.
Gwendolin Level 15 Description,Increased attack speed.
Gwendolin Level 16 Description,Firestorm has increased duration. Purple Bloons are no longer immune to Gwendolin's attacks.
Gwendolin Level 17 Description,"Heat it up empowers affected Monkeys to pop 1 extra layer, and do +2 damage to Lead Bloons."
Gwendolin Level 18 Description,Increased attack speed.
Gwendolin Level 19 Description,Shoots 3 blasts of fire per shot.
Gwendolin Level 20 Description,Firestorm does hugely increased damage.
,
Benjamin Level 1 Description,Hacks in $100 every round.
Benjamin Level 2 Description,Generates $150 per round instead of $100.
