//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
Tap,Tocca
,
//Tower Names,
DartMonkey,Scimmia a freccette
BoomerangMonkey,Scimmia boomerang
BombShooter,Spara bombe
TackShooter,Spara puntine
IceMonkey,Scimmia di ghiaccio
GlueGunner,Spara colla
SniperMonkey,Scimmia cecchino
MonkeySub,Sommergibile
MonkeyBuccaneer,Scimmia bucaniere
MonkeyAce,Scimmia asso
HeliPilot,Pilota di elicottero
MortarMonkey,Scimmia mortaio
WizardMonkey,Scimmia mago
DartlingGunner,Torre spara freccette
SuperMonkey,Super scimmia
NinjaMonkey,Scimmia ninja
Alchemist,Alchimista
Druid,Druido
BananaFarm,Vivaio di banane
EngineerMonkey,Scimmia ingegnere
SpikeFactory,Fabbrica di aculei
MonkeyAcademy,Accademia delle scimmie
MonkeyVillage,Villaggio delle scimmie
,
//Tower Descriptions,
DartMonkey Description,Lancia una sola freccetta contro i bloon vicini. A corto raggio e bassa penetrazione ma economica.
BoomerangMonkey Description,Lancia un boomerang che segue una traiettoria curva. Portata e penetrazione buone.
BombShooter Description,Lancia una potente bomba contro i bloon. La sua cadenza di fuoco è lenta ma la sua esplosione ha un ampio raggio.
TackShooter Description,Spara una scarica a corto raggio di puntine in 8 direzioni.
IceMonkey Description,"Fa scoppiare e congela per un breve lasso di tempo i bloon vicini. I bloon congelati sono immuni al danno da oggetti affilati. I bloon bianchi, zebrati o di piombo sono immuni."
GlueGunner Description,Spara una colla appiccicosa che rallenta i bloon del 50%.
SniperMonkey Description,Può sparare ai bloon che vede ovunque sullo schermo con un fucile a lungo raggio. I suoi colpi provocano lo scoppio di 2 strati di bloon.
MonkeySub Description,È in grado di lanciare freccette cerca bersaglio contro i bloon vicini. Va collocata in acqua.
MonkeyBuccaneer Description,È in grado di lanciare una sola freccetta da entrambi i lati della nave. Va collocata in acqua.
MonkeyAce Description,Vola sopra al terreno sparando scariche di freccette molto appuntite.
HeliPilot Description,Fluttua ovunque tu l'invii. Spara da doppie lanciadardi pesanti.
MortarMonkey Description,È in grado di lanciare colpi di mortaio esplosivi verso un punto fisso casuale sullo schermo.
WizardMonkey Description,Lancia magici fulmini energetici contro i bloon. Può essere potenziata in un'ampia gamma di incantesimi.
DartlingGunner Description,Usa una mitragliatrice spara freccette. Mira ovunque punti sullo schermo.
SuperMonkey Description,Lancia centinaia di freccette a velocità supersonica con un'ampissima portata di attacco.
NinjaMonkey Description,È una scimmia furtiva e veloce capace di lanciare affilati shuriken che fanno scoppiare i bloon. È in grado di colpire i bloon mimetizzati.
Alchemist Description,"Combina in sé il potere della scienza e della magia ed è in grado di spruzzare i bloon con l'acido. Inoltre, è capace di preparare varie pozioni con diversi effetti."
Druid Description,"È in grado di creare, con ogni attacco, un'esplosione di aculei. Quando viene potenziata, può adoperare i poteri della giungla, della tempesta o dell'ira."
BananaFarm Description,A ogni round genera banane convertibili in denaro per effettuare acquisti.
EngineerMonkey Description,"Usa la sua fidata sparachiodi per far scoppiare i bloon. Quando viene potenziata, può creare le proprie torrette sentinella spara chiodi."
SpikeFactory Description,Genera automaticamente mucchi di aculei da strada da collocare sui tracciati vicini. Eccellente come ultima linea di difesa.
MonkeyAcademy Description,"Il luogo dove le scimmie vengono istruite e addestrate. Conferisce potenti benefici a scimmie soldato, magiche ed eroe. In ogni round genera una piccola quantità di PE eroe."
MonkeyVillage Description,Centro nevralgico delle attività scimmiesche. Conferisce un gran numero di benefici a tutte le tue scimmie e aumenta del 15% la portata di tutte le scimmie nel suo raggio d'azione.
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Capitan Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Piediverdi
,
//Hero Short Descriptions,
Quincy Short Description,Arciere
StrikerJones Short Description,Comandante artiglieria
CaptainChurchill Short Description,Carro armato
Gwendolin Short Description,Piromane
Benjamin Short Description,Scimmia hacker
PatFusty Short Description,Scimmia gigante
Ezili Short Description,Scimmia vudù
ObynGreenfoot Short Description,Guardiano della foresta
,
//Hero Description,
Quincy Description,"Orgoglioso, forte e intelligente. Quincy adopera il suo arco con enorme maestria."
StrikerJones Description,Striker Jones è un valoroso comandante che sfrutta la sua conoscenza delle tecniche di combattimento a lunga distanza per potenziare la capacità distruttiva degli esplosivi.
CaptainChurchill Description,"A comando del suo carrarmato corazzato da battaglia, il capitano non conosce avversari sul campo di battaglia."
Gwendolin Description,"Gwendolin è fermamente convinta che ci sia un solo modo per risolvere il problema dei bloon. Usare il fuoco, tanto fuoco."
Benjamin Description,"Grazie alle sue abilità di hacker, Benjamin è in grado di generare denaro extra per la causa."
PatFusty Description,Pat è noto tra le scimmie per la stazza e l'enorme forza che lo rendono una risorsa irrinunciabile nella guerra contro i bloon.
Ezili Description,"Grazie alla sua maestria nelle arti oscure, Ezili è in grado di manipolare i Bloon. Non fidarti troppo. "
ObynGreenfoot Description,Obyn è in grado di comandare il potere della natura e di distruggere gli ostacoli grazie al suo attacco spirito del lupo.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Le frecce di Quincy sono in grado di respingere fino a 3 bersagli.
Quincy Level 2 Description,L'attacco base è in grado di respingere fino a 4 bersagli.
Quincy Level 3 Description,Colpo rapido: velocità di attacco tripla per un breve lasso di tempo.
Quincy Level 4 Description,Portata lievemente maggiore.
Quincy Level 5 Description,Usa la sua vista acuta per colpire i bloon mimetizzati.
Quincy Level 6 Description,Spara 2 frecce alla volta.
Quincy Level 7 Description,Spara frecce esplosive ogni 3 colpi.
Quincy Level 8 Description,Le frecce infliggono danno triplo ai bloon classe MOAB.
Quincy Level 9 Description,L'attacco base è in grado di respingere fino a 6 bersagli.
Quincy Level 10 Description,Tempesta di frecce: una pioggia letale di frecce che coinvolge un'area ampia.
Quincy Level 11 Description,Velocità d'attacco aumentata.
Quincy Level 12 Description,Ogni freccia è in grado di far scoppiare più bloon.
Quincy Level 13 Description,Lieve aumento di portata.
Quincy Level 14 Description,Le frecce infliggono danno quadruplo ai bloon classe MOAB.
Quincy Level 15 Description,Colpo rapido diventa attacco dalla velocità quadruplicata e il tempo di ricarica è ridotto.
Quincy Level 16 Description,Velocità d'attacco ulteriormente aumentata.
Quincy Level 17 Description,Le frecce durano il 25% in più.
Quincy Level 18 Description,Quincy attacca più velocemente e Tempesta di frecce ha un tempo di recupero ridotto e 50% frecce in più.
Quincy Level 19 Description,Ogni freccia è in grado di far scoppiare più bloon.
Quincy Level 20 Description,Quincy attacca ancora più velocemente. Tempesta di frecce infligge ancora più danni e lancia più frecce.
,
StrikerJones Level 1 Description,Striker Jones si avvale di un potente bazooka per far scoppiare i bloon.
StrikerJones Level 2 Description,Raggio dell'esplosione aumentato.
StrikerJones Level 3 Description,Granata concussiva: spara una granata teleguidata verso il bloon più grande sullo schermo e lo stordisce.
StrikerJones Level 4 Description,Velocità di tutti gli Spara bombe e Scimmie mortaio sullo schermo aumentata del 10%.
StrikerJones Level 5 Description,Rende tutti i bloon neri meno resistenti al danno da esplosione provocato da tutte le scimmie.
StrikerJones Level 6 Description,Il raggio dell'esplosione e gli scoppi provocati dagli attacchi normali di Jones aumentano di molto.
StrikerJones Level 7 Description,È in grado di far scoppiare due strati per ciascun colpo e raggio di esplosione delle Scimmie mortaio aumentato del 10%.
StrikerJones Level 8 Description,Gli Spara bombe vicini all'eroe ottengono il 5% in più di portata e il 25% in più di penetrazione.
StrikerJones Level 9 Description,"Aumenta la velocità d'attacco e aumenta la perforazione, i danni e lo stordimento della Granata concussiva."
StrikerJones Level 10 Description,Comando di artiglieria: azzera il tempo di ricarica di tutti gli Spara bombe e Scimmie mortaio.
StrikerJones Level 11 Description,Velocità d'attacco aumentata.
StrikerJones Level 12 Description,Aumenta lievemente la portata d'attacco e aggiunge la capacità di far scoppiare uno strato extra.
StrikerJones Level 13 Description,Velocità d'attacco aumentata.
StrikerJones Level 14 Description,La Granata concussiva agisce su un'area più ampia e più a lungo.
StrikerJones Level 15 Description,Tempo di ricarica della Granata concussiva ridotto di 11 secondi.
StrikerJones Level 16 Description,Velocità d'attacco aumentata.
StrikerJones Level 17 Description,Portata aumentata e capacità di far scoppiare 4 strati per colpo.
StrikerJones Level 18 Description,Velocità di attacco di tutti gli Spara bombe e Scimmie mortaio maggiore del 10%.
StrikerJones Level 19 Description,Velocità d'attacco aumentata e rende tutti i bloon neri meno resistenti al danno da esplosione.
StrikerJones Level 20 Description,"Comando di artiglieria conferisce, inoltre, doppio danno e dopi scoppi per ciascun colpo a tutti gli Spara bombe e Scimmie mortaio per 10 secondi."
,
CaptainChurchill Level 1 Description,Le bombe perforanti sparate dal carrarmato sono in grado di scoppiare fino a 3 volte.
CaptainChurchill Level 2 Description,Più bloon distrutti per colpo.
CaptainChurchill Level 3 Description,Granate perforanti: in grado di far scoppiare bloon neri e di provocare danno extra a quelli di ceramica. La durata aumenta man mano che Churchill sale di livello.
CaptainChurchill Level 4 Description,Portata di attacco aumentata.
CaptainChurchill Level 5 Description,Aggiunge al carrarmato un attacco con mitragliatrice a fuoco rapido.
CaptainChurchill Level 6 Description,"Grazie al binocolo, Churchill è in grado di far scoppiare bloon mimetizzati."
CaptainChurchill Level 7 Description,Le granate infliggono più danni e possono esplodere 4 volte invece di 3.
CaptainChurchill Level 8 Description,Velocità d'attacco aumentata.
CaptainChurchill Level 9 Description,Le granate possono esplodere 5 volte.
CaptainChurchill Level 10 Description,Sbarramento MOAB: lancia uno sbarramento di granate contro un massimo di 10 bloon classe MOAB sullo schermo provocando ogni volta gravissimi danni.
CaptainChurchill Level 11 Description,Più bloon distrutti per granata.
CaptainChurchill Level 12 Description,Le granate infliggono altri danni in più e possono esplodere 6 volte.
CaptainChurchill Level 13 Description,Le granate perforanti fanno scoppiare 2 strati di bloon e provocano danno extra ai bloon di ceramica e a quelli di categoria superiore.
CaptainChurchill Level 14 Description,La Mitragliatrice e l'Arma principale fanno scoppiare 1 strato in più per colpo.
CaptainChurchill Level 15 Description,Tutti gli attacchi provocano danno extra ai bloon fortificati.
CaptainChurchill Level 16 Description,Velocità d'attacco aumentata.
CaptainChurchill Level 17 Description,Le Granate perforanti provocano ancor più danno.
CaptainChurchill Level 18 Description,Tutte le granate fanno scoppiare uno strato extra di bloon.
CaptainChurchill Level 19 Description,Le granate possono esplodere 7 volte.
CaptainChurchill Level 20 Description,Le granate Sbarramento MOAB e l'arma principale aumentano enormemente il danno per ciascun colpo.
,
Gwendolin Level 1 Description,Distrugge i bloon con il suo lanciafiamme.
Gwendolin Level 2 Description,Lieve aumento di bloon scoppiati per colpo.
Gwendolin Level 3 Description,Cocktail di fuoco: lancia un flacone di liquido infiammabile e tutti i bloon che attraversano il fuoco vengono inceneriti.
Gwendolin Level 4 Description,Raffica ustionante - Ogni pochi secondi crea un'ondata di fuoco che fa scoppiare i bloon e aggiunge più fuoco agli attacchi delle scimmie vicine.
Gwendolin Level 5 Description,Più bloon distrutti per colpo.
Gwendolin Level 6 Description,Gli attacchi provocano un effetto ustionante sui bloon bersaglio.
Gwendolin Level 7 Description,Raggio della Raffica ustionante aumentato.
Gwendolin Level 8 Description,Spara 2 raffiche di fuoco per colpo.
Gwendolin Level 9 Description,A ogni raffica il colpo iniziale fa scoppiare 1 strato extra.
Gwendolin Level 10 Description,"Tempesta di fuoco: Incendia l'intero schermo, bruciando tutti i Bloon e garantendo a tutte le scimmie il potenziamento Raffica ustionante."
